idVotacao,voto,deputado_id,deputado_nome
345311-276,Sim,220593,Abilio Brunini
345311-276,Não,204379,Acácio Favacho
345311-276,Sim,220714,Adail Filho
345311-276,Sim,221328,Adilson Barroso
345311-276,Sim,204560,Adolfo Viana
345311-276,Sim,204528,Adriana Ventura
345311-276,Sim,121948,Adriano do Baldy
345311-276,Sim,74646,Aécio Neves
345311-276,Sim,160527,Aguinaldo Ribeiro
345311-276,Não,204495,Airton Faleiro
345311-276,Sim,73579,Alberto Fraga
345311-276,Sim,74696,Alberto Mourão
345311-276,Sim,220538,Albuquerque
345311-276,Sim,160559,Alceu Moreira
345311-276,Não,204501,Alencar Santana
345311-276,Sim,204571,Alex Santana
345311-276,Sim,220542,Alexandre Guimarães
345311-276,Sim,160545,Alexandre Leite
345311-276,Não,220554,Alexandre Lindenmeyer
345311-276,Não,221148,Alfredinho
345311-276,Sim,220576,Alfredo Gaspar
345311-276,Não,74057,Alice Portugal
345311-276,Não,178927,Aliel Machado
345311-276,Sim,178881,Aluisio Mendes
345311-276,Sim,220596,Amália Barros
345311-276,Sim,204356,Amaro Neto
345311-276,Não,220715,Amom Mandel
345311-276,Sim,107970,Ana Paula Leão
345311-276,Não,220556,Ana Paula Lima
345311-276,Não,220632,Ana Pimentel
345311-276,Sim,220657,André Fernandes
345311-276,Sim,204423,André Ferreira
345311-276,Não,133439,André Figueiredo
345311-276,Sim,178882,André Fufuca
345311-276,Não,204515,André Janones
345311-276,Não,220676,Andreia Siqueira
345311-276,Sim,123756,Antônia Lúcia
345311-276,Sim,220544,Antonio Andrade
345311-276,Não,220638,Antonio Carlos Rodrigues
345311-276,Sim,220675,Antônio Doido
345311-276,Sim,220549,Any Ortiz
345311-276,Não,73433,Arlindo Chinaglia
345311-276,Sim,141391,Arnaldo Jardim
345311-276,Artigo 17,160541,Arthur Lira
345311-276,Sim,160600,Arthur Oliveira Maia
345311-276,Não,74090,Átila Lins
345311-276,Sim,123086,Átila Lira
345311-276,Sim,160665,Augusto Coutinho
345311-276,Não,220577,Augusto Puppio
345311-276,Não,69871,Bacelar
345311-276,Sim,178975,Baleia Rossi
345311-276,Não,220605,Bandeira de Mello
345311-276,Sim,220612,Bebeto
345311-276,Não,73701,Benedita da Silva
345311-276,Sim,109429,Benes Leocádio
345311-276,Sim,204358,Beto Pereira
345311-276,Sim,220683,Beto Richa
345311-276,Sim,204374,Bia Kicis
345311-276,Sim,204388,Bibo Nunes
345311-276,Não,160538,Bohn Gass
345311-276,Sim,210989,Bruno Farias
345311-276,Não,220635,Bruno Ganem
345311-276,Sim,220574,Cabo Gilberto Silva
345311-276,Sim,143942,Caio Vianna
345311-276,Não,220548,Camila Jara
345311-276,Sim,204572,Capitão Alberto Neto
345311-276,Sim,220690,Capitão Alden
345311-276,Sim,178829,Capitão Augusto
345311-276,Sim,204361,Carlos Chiodini
345311-276,Sim,178993,Carlos Henrique Gaguim
345311-276,Sim,204460,Carlos Jordy
345311-276,Sim,74262,Carlos Sampaio
345311-276,Não,204426,Carlos Veras
345311-276,Não,141398,Carlos Zarattini
345311-276,Não,220704,Carol Dartora
345311-276,Sim,204369,Caroline de Toni
345311-276,Não,220699,Castro Neto
345311-276,Não,206018,Célia Xakriabá
345311-276,Sim,178876,Célio Silveira
345311-276,Não,204488,Célio Studart
345311-276,Sim,73441,Celso Russomanno
345311-276,Sim,204496,Celso Sabino
