idVotacao,voto,deputado_id,deputado_nome
2289351-66,Não,220593,Abilio Brunini
2289351-66,Não,204528,Adriana Ventura
2289351-66,Sim,74057,Alice Portugal
2289351-66,Não,220574,Cabo Gilberto Silva
2289351-66,Não,220690,Capitão Alden
2289351-66,Sim,220608,Cristiane Lopes
2289351-66,Sim,74467,Damião Feliciano
2289351-66,Sim,220629,Dandara
2289351-66,Não,220654,Delegado Paulo Bilynskyj
2289351-66,Não,178929,Diego Garcia
2289351-66,Sim,204445,Fernando Mineiro
2289351-66,Não,220551,Franciane Bayer
2289351-66,Não,74270,Gilberto Nascimento
2289351-66,Sim,204533,Idilvan Alencar
2289351-66,Sim,98615,Ismael
2289351-66,Sim,73531,Ivan Valente
2289351-66,Sim,220566,Lêda Borges
2289351-66,Sim,139285,Lídice da Mata
2289351-66,Sim,220668,Maria Arraes
2289351-66,Não,204540,Maria Rosas
2289351-66,Não,204570,Pastor Gil
2289351-66,Sim,220667,Pedro Campos
2289351-66,Sim,122974,Pedro Lucas Fernandes
2289351-66,Sim,160604,Pedro Uczai
2289351-66,Sim,220533,Prof. Reginaldo Veras
2289351-66,Não,204390,Professor Alcides
2289351-66,Sim,220580,Professora Goreth
2289351-66,Sim,220586,Rafael Brito
2289351-66,Não,220543,Ricardo Ayres
2289351-66,Sim,104552,Socorro Neri
2289351-66,Sim,220598,Tarcísio Motta
