idVotacao,voto,deputado_id,deputado_nome
2351179-51,Sim,220593,Abilio Brunini
2351179-51,Sim,220714,Adail Filho
2351179-51,Sim,221328,Adilson Barroso
2351179-51,Sim,204560,Adolfo Viana
2351179-51,Não,204528,Adriana Ventura
2351179-51,Sim,121948,Adriano do Baldy
2351179-51,Sim,74646,Aécio Neves
2351179-51,Sim,136811,Afonso Hamm
2351179-51,Sim,178835,Afonso Motta
2351179-51,Sim,160527,Aguinaldo Ribeiro
2351179-51,Sim,204495,Airton Faleiro
2351179-51,Sim,204549,AJ Albuquerque
2351179-51,Não,73579,Alberto Fraga
2351179-51,Sim,220538,Albuquerque
2351179-51,Sim,160559,Alceu Moreira
2351179-51,Sim,204501,Alencar Santana
2351179-51,Sim,204571,Alex Santana
2351179-51,Sim,220554,Alexandre Lindenmeyer
2351179-51,Sim,221148,Alfredinho
2351179-51,Sim,74057,Alice Portugal
2351179-51,Sim,178927,Aliel Machado
2351179-51,Sim,178881,Aluisio Mendes
2351179-51,Sim,220596,Amália Barros
2351179-51,Sim,220707,Amanda Gentil
2351179-51,Sim,204356,Amaro Neto
2351179-51,Sim,220715,Amom Mandel
2351179-51,Sim,220556,Ana Paula Lima
2351179-51,Sim,220632,Ana Pimentel
2351179-51,Não,220657,André Fernandes
2351179-51,Sim,133439,André Figueiredo
2351179-51,Sim,204515,André Janones
2351179-51,Sim,220676,Andreia Siqueira
2351179-51,Sim,160553,Antonio Brito
2351179-51,Sim,220675,Antônio Doido
2351179-51,Não,220549,Any Ortiz
2351179-51,Sim,73433,Arlindo Chinaglia
2351179-51,Sim,141391,Arnaldo Jardim
2351179-51,Abstenção,160600,Arthur Oliveira Maia
2351179-51,Sim,123086,Átila Lira
2351179-51,Sim,160665,Augusto Coutinho
2351179-51,Sim,220577,Augusto Puppio
2351179-51,Sim,160512,Aureo Ribeiro
2351179-51,Sim,69871,Bacelar
2351179-51,Sim,178975,Baleia Rossi
2351179-51,Sim,220605,Bandeira de Mello
2351179-51,Sim,220612,Bebeto
2351179-51,Sim,73701,Benedita da Silva
2351179-51,Sim,204358,Beto Pereira
2351179-51,Não,204374,Bia Kicis
2351179-51,Não,204388,Bibo Nunes
2351179-51,Sim,160538,Bohn Gass
2351179-51,Sim,210989,Bruno Farias
2351179-51,Não,220574,Cabo Gilberto Silva
2351179-51,Sim,220548,Camila Jara
2351179-51,Não,220690,Capitão Alden
2351179-51,Abstenção,178829,Capitão Augusto
2351179-51,Não,204507,Carla Zambelli
2351179-51,Sim,178962,Carlos Gomes
2351179-51,Sim,178993,Carlos Henrique Gaguim
2351179-51,Não,204460,Carlos Jordy
2351179-51,Sim,74262,Carlos Sampaio
2351179-51,Sim,204426,Carlos Veras
2351179-51,Sim,141398,Carlos Zarattini
2351179-51,Sim,220704,Carol Dartora
2351179-51,Não,204369,Caroline de Toni
2351179-51,Sim,220699,Castro Neto
2351179-51,Sim,206018,Célia Xakriabá
2351179-51,Sim,73441,Celso Russomanno
2351179-51,Sim,204504,Cezinha de Madureira
2351179-51,Sim,205476,Charles Fernandes
2351179-51,Sim,74171,Chico Alencar
2351179-51,Sim,204476,Chiquinho Brazão
2351179-51,Não,204462,Chris Tonietto
2351179-51,Sim,220665,Clarissa Tércio
2351179-51,Sim,74537,Claudio Cajado
2351179-51,Sim,141408,Cleber Verde
2351179-51,Sim,88256,Clodoaldo Magalhães
2351179-51,Sim,98148,Cobalchini
2351179-51,Sim,220594,Coronel Assis
2351179-51,Sim,204378,Coronel Chrisóstomo
2351179-51,Sim,220595,Coronel Fernanda
2351179-51,Sim,220666,Coronel Meira
2351179-51,Sim,220590,Coronel Ulysses
2351179-51,Sim,178963,Covatti Filho
2351179-51,Sim,204355,Da Vitoria
2351179-51,Sim,141411,Dagoberto Nogueira
2351179-51,Sim,220555,Daiana Santos
2351179-51,Sim,220692,Dal Barreto
2351179-51,Sim,74467,Damião Feliciano
2351179-51,Sim,220629,Dandara
2351179-51,Não,220603,Dani Cunha
2351179-51,Sim,220571,Daniel Agrobom
2351179-51,Sim,74060,Daniel Almeida
2351179-51,Sim,204367,Daniel Freitas
2351179-51,Sim,220614,Daniel Soranz
2351179-51,Sim,204409,Daniel Trzeciak
2351179-51,Sim,220557,Daniela Reinehr
2351179-51,Sim,220659,Dayany Bittencourt
2351179-51,Sim,220565,Delegada Adriana Accorsi
2351179-51,Sim,220625,Delegada Ione
2351179-51,Sim,220561,Delegada Katarina
2351179-51,Sim,220701,Delegado Matheus Laiola
2351179-51,Sim,220652,Delegado Palumbo
2351179-51,Sim,220654,Delegado Paulo Bilynskyj
2351179-51,Não,220705,Deltan Dallagnol
2351179-51,Sim,220553,Denise Pessôa
2351179-51,Sim,220689,Detinha
2351179-51,Sim,160588,Diego Andrade
2351179-51,Sim,220691,Diego Coronel
2351179-51,Sim,178929,Diego Garcia
2351179-51,Sim,73768,Dilceu Sperafico
2351179-51,Sim,220671,Dilvanda Faro
