idVotacao,voto,deputado_id,deputado_nome
2138680-57,Sim,178835,Afonso Motta
2138680-57,Sim,204501,Alencar Santana
2138680-57,Sim,220576,Alfredo Gaspar
2138680-57,Não,160600,Arthur Oliveira Maia
2138680-57,Sim,123086,Átila Lira
2138680-57,Sim,69871,Bacelar
2138680-57,Sim,204426,Carlos Veras
2138680-57,Não,204369,Caroline de Toni
2138680-57,Não,204462,Chris Tonietto
2138680-57,Não,220595,Coronel Fernanda
2138680-57,Não,178963,Covatti Filho
2138680-57,Não,220692,Dal Barreto
2138680-57,Sim,220561,Delegada Katarina
2138680-57,Não,204512,Delegado Marcelo Freitas
2138680-57,Não,220619,Delegado Ramagem
2138680-57,Não,220705,Deltan Dallagnol
2138680-57,Não,178929,Diego Garcia
2138680-57,Sim,220686,Duarte
2138680-57,Sim,204541,Eduardo Bismarck
2138680-57,Sim,160575,Erika Kokay
2138680-57,Sim,191923,Flávio Nogueira
2138680-57,Não,220587,Gerlen Diniz
2138680-57,Sim,204394,Gervásio Maia
2138680-57,Não,204365,Gilson Marques
2138680-57,Sim,178873,Helder Salomão
2138680-57,Sim,74550,João Leão
2138680-57,Sim,204391,José Nelto
2138680-57,Sim,204474,Juarez Costa
2138680-57,Não,220559,Julia Zanatta
2138680-57,Sim,66385,Julio Arcoverde
2138680-57,Não,204404,Lucas Redecker
2138680-57,Sim,74041,Luiz Couto
2138680-57,Não,74428,Mendonça Filho
2138680-57,Não,220584,Murilo Galdino
2138680-57,Sim,74160,Patrus Ananias
2138680-57,Sim,74574,Paulo Magalhães
2138680-57,Não,160601,Pr. Marco Feliciano
2138680-57,Não,220588,Roberto Duarte
2138680-57,Não,220644,Rosângela Moro
2138680-57,Sim,178887,Rubens Pereira Júnior
2138680-57,Sim,73604,Rui Falcão
2138680-57,Sim,204535,Sâmia Bomfim
2138680-57,Não,220564,Yandra Moura
2138680-57,Sim,220536,Zé Haroldo Cathedral
