idVotacao,voto,deputado_id,deputado_nome
2305816-108,Sim,220593,Abilio Brunini
2305816-108,Não,220714,Adail Filho
2305816-108,Não,220548,Camila Jara
2305816-108,Sim,204572,Capitão Alberto Neto
2305816-108,Não,204476,Chiquinho Brazão
2305816-108,Não,198783,Emanuel Pinheiro Neto
2305816-108,Não,220653,Fábio Teruel
2305816-108,Não,220700,Florentino Neto
2305816-108,Não,220639,Guilherme Boulos
2305816-108,Não,204539,Hercílio Coelho Diniz
2305816-108,Não,141456,Jilmar Tatto
2305816-108,Não,220578,Josenildo
2305816-108,Não,74253,Julio Lopes
2305816-108,Não,74856,Laura Carneiro
2305816-108,Não,74858,Lindbergh Farias
2305816-108,Sim,204526,Luiz Philippe de Orleans e Bragança
2305816-108,Não,220669,Lula da Fonte
2305816-108,Não,160161,Marcelo Queiroz
2305816-108,Não,204486,Mauro Benevides Filho
2305816-108,Não,188097,Merlong Solano
2305816-108,Não,204492,Paulo Guedes
2305816-108,Não,122158,Pedro Paulo
2305816-108,Sim,205865,Reinhold Stephanes Junior
2305816-108,Não,220713,Saullo Vianna
2305816-108,Não,204557,Sidney Leite
2305816-108,Não,220560,Thiago de Joaldo
2305816-108,Não,220660,Yury do Paredão
2305816-108,Não,204559,Zé Neto
