idVotacao,voto,deputado_id,deputado_nome
2362190-9,Sim,220593,Abilio Brunini
2362190-9,Sim,220714,Adail Filho
2362190-9,Sim,221328,Adilson Barroso
2362190-9,Sim,204560,Adolfo Viana
2362190-9,Sim,204528,Adriana Ventura
2362190-9,Sim,121948,Adriano do Baldy
2362190-9,Sim,74646,Aécio Neves
2362190-9,Sim,136811,Afonso Hamm
2362190-9,Sim,178835,Afonso Motta
2362190-9,Sim,73579,Alberto Fraga
2362190-9,Sim,74696,Alberto Mourão
2362190-9,Sim,160559,Alceu Moreira
2362190-9,Não,204501,Alencar Santana
2362190-9,Sim,204571,Alex Santana
2362190-9,Sim,160545,Alexandre Leite
2362190-9,Não,220554,Alexandre Lindenmeyer
2362190-9,Não,221148,Alfredinho
2362190-9,Sim,220576,Alfredo Gaspar
2362190-9,Não,74057,Alice Portugal
2362190-9,Não,178927,Aliel Machado
2362190-9,Sim,178881,Aluisio Mendes
2362190-9,Sim,220596,Amália Barros
2362190-9,Sim,220707,Amanda Gentil
2362190-9,Sim,204356,Amaro Neto
2362190-9,Não,220715,Amom Mandel
2362190-9,Sim,107970,Ana Paula Leão
2362190-9,Não,220632,Ana Pimentel
2362190-9,Sim,220657,André Fernandes
2362190-9,Sim,204423,André Ferreira
2362190-9,Não,133439,André Figueiredo
2362190-9,Sim,178882,André Fufuca
2362190-9,Não,220676,Andreia Siqueira
2362190-9,Sim,123756,Antônia Lúcia
2362190-9,Sim,220544,Antonio Andrade
2362190-9,Sim,160553,Antonio Brito
2362190-9,Sim,220638,Antonio Carlos Rodrigues
2362190-9,Sim,220675,Antônio Doido
2362190-9,Não,73433,Arlindo Chinaglia
2362190-9,Sim,141391,Arnaldo Jardim
2362190-9,Artigo 17,160541,Arthur Lira
2362190-9,Sim,160600,Arthur Oliveira Maia
2362190-9,Sim,74090,Átila Lins
2362190-9,Sim,123086,Átila Lira
2362190-9,Sim,160665,Augusto Coutinho
2362190-9,Sim,220577,Augusto Puppio
2362190-9,Sim,160512,Aureo Ribeiro
2362190-9,Não,69871,Bacelar
2362190-9,Sim,178975,Baleia Rossi
2362190-9,Não,220605,Bandeira de Mello
2362190-9,Sim,220612,Bebeto
2362190-9,Não,73701,Benedita da Silva
2362190-9,Sim,109429,Benes Leocádio
2362190-9,Sim,204358,Beto Pereira
2362190-9,Sim,220683,Beto Richa
2362190-9,Sim,204374,Bia Kicis
2362190-9,Sim,204388,Bibo Nunes
2362190-9,Não,160538,Bohn Gass
2362190-9,Sim,210989,Bruno Farias
2362190-9,Sim,220635,Bruno Ganem
2362190-9,Sim,220574,Cabo Gilberto Silva
2362190-9,Sim,143942,Caio Vianna
2362190-9,Não,220548,Camila Jara
2362190-9,Sim,204572,Capitão Alberto Neto
2362190-9,Sim,220690,Capitão Alden
2362190-9,Sim,178829,Capitão Augusto
2362190-9,Sim,204361,Carlos Chiodini
2362190-9,Sim,178962,Carlos Gomes
2362190-9,Sim,178993,Carlos Henrique Gaguim
2362190-9,Sim,204460,Carlos Jordy
2362190-9,Sim,74262,Carlos Sampaio
2362190-9,Não,204426,Carlos Veras
2362190-9,Não,141398,Carlos Zarattini
2362190-9,Não,220704,Carol Dartora
2362190-9,Sim,204369,Caroline de Toni
2362190-9,Sim,220699,Castro Neto
2362190-9,Não,206018,Célia Xakriabá
2362190-9,Sim,178876,Célio Silveira
2362190-9,Não,204488,Célio Studart
2362190-9,Sim,73441,Celso Russomanno
2362190-9,Sim,204504,Cezinha de Madureira
2362190-9,Sim,205476,Charles Fernandes
2362190-9,Não,74171,Chico Alencar
