idVotacao,voto,deputado_id,deputado_nome
2363417-4,Sim,204501,Alencar Santana
2363417-4,Não,220576,Alfredo Gaspar
2363417-4,Não,107970,Ana Paula Leão
2363417-4,Não,220690,Capitão Alden
2363417-4,Não,204369,Caroline de Toni
2363417-4,Não,204378,Coronel Chrisóstomo
2363417-4,Não,220590,Coronel Ulysses
2363417-4,Não,178908,Delegado Éder Mauro
2363417-4,Não,220583,Delegado Fabio Costa
2363417-4,Não,178871,Evair Vieira de Melo
2363417-4,Não,204539,Hercílio Coelho Diniz
2363417-4,Não,204536,Kim Kataguiri
2363417-4,Sim,139285,Lídice da Mata
2363417-4,Não,204404,Lucas Redecker
2363417-4,Não,166402,Magda Mofatto
2363417-4,Não,220530,Messias Donato
2363417-4,Sim,160556,Padre João
2363417-4,Sim,171617,Paulão
2363417-4,Sim,221338,Professora Luciene Cavalcante
2363417-4,Não,220633,Ricardo Salles
2363417-4,Sim,204535,Sâmia Bomfim
2363417-4,Não,220552,Tenente Coronel Zucco
2363417-4,Sim,160610,Valmir Assunção
