idVotacao,voto,deputado_id,deputado_nome
2115253-118,Não,220593,Abilio Brunini
2115253-118,Não,220714,Adail Filho
2115253-118,Não,221328,Adilson Barroso
2115253-118,Não,204528,Adriana Ventura
2115253-118,Não,74646,Aécio Neves
2115253-118,Não,136811,Afonso Hamm
2115253-118,Sim,178835,Afonso Motta
2115253-118,Sim,204495,Airton Faleiro
2115253-118,Sim,74696,Alberto Mourão
2115253-118,Não,220538,Albuquerque
2115253-118,Sim,204501,Alencar Santana
2115253-118,Não,178972,Alex Manente
2115253-118,Não,204571,Alex Santana
2115253-118,Sim,220554,Alexandre Lindenmeyer
2115253-118,Sim,221148,Alfredinho
2115253-118,Não,220576,Alfredo Gaspar
2115253-118,Sim,74057,Alice Portugal
2115253-118,Sim,178927,Aliel Machado
2115253-118,Não,178881,Aluisio Mendes
2115253-118,Não,220596,Amália Barros
2115253-118,Não,204356,Amaro Neto
2115253-118,Não,220715,Amom Mandel
2115253-118,Não,107970,Ana Paula Leão
2115253-118,Sim,220556,Ana Paula Lima
2115253-118,Sim,220632,Ana Pimentel
2115253-118,Sim,133439,André Figueiredo
2115253-118,Sim,204515,André Janones
2115253-118,Sim,220676,Andreia Siqueira
2115253-118,Não,220544,Antonio Andrade
2115253-118,Não,220549,Any Ortiz
2115253-118,Sim,73433,Arlindo Chinaglia
2115253-118,Sim,160600,Arthur Oliveira Maia
2115253-118,Sim,74090,Átila Lins
2115253-118,Não,123086,Átila Lira
2115253-118,Sim,160665,Augusto Coutinho
2115253-118,Sim,220577,Augusto Puppio
2115253-118,Sim,160512,Aureo Ribeiro
2115253-118,Sim,69871,Bacelar
2115253-118,Sim,178975,Baleia Rossi
2115253-118,Sim,220605,Bandeira de Mello
2115253-118,Não,220612,Bebeto
2115253-118,Sim,73701,Benedita da Silva
2115253-118,Sim,204358,Beto Pereira
2115253-118,Não,220683,Beto Richa
2115253-118,Não,204374,Bia Kicis
2115253-118,Não,204388,Bibo Nunes
2115253-118,Sim,210989,Bruno Farias
2115253-118,Não,220574,Cabo Gilberto Silva
2115253-118,Sim,220548,Camila Jara
2115253-118,Não,204572,Capitão Alberto Neto
2115253-118,Sim,220690,Capitão Alden
2115253-118,Não,178829,Capitão Augusto
2115253-118,Não,178962,Carlos Gomes
2115253-118,Não,204460,Carlos Jordy
2115253-118,Não,74262,Carlos Sampaio
2115253-118,Sim,204426,Carlos Veras
2115253-118,Sim,141398,Carlos Zarattini
2115253-118,Sim,220704,Carol Dartora
2115253-118,Não,204369,Caroline de Toni
2115253-118,Sim,204488,Célio Studart
2115253-118,Sim,205476,Charles Fernandes
2115253-118,Sim,74171,Chico Alencar
2115253-118,Não,204462,Chris Tonietto
2115253-118,Não,220665,Clarissa Tércio
2115253-118,Não,74537,Claudio Cajado
2115253-118,Sim,141408,Cleber Verde
2115253-118,Sim,98148,Cobalchini
2115253-118,Sim,220594,Coronel Assis
2115253-118,Não,204378,Coronel Chrisóstomo
2115253-118,Não,220595,Coronel Fernanda
2115253-118,Não,220666,Coronel Meira
2115253-118,Não,222142,Coronel Telhada
2115253-118,Sim,220590,Coronel Ulysses
2115253-118,Não,178963,Covatti Filho
2115253-118,Não,220608,Cristiane Lopes
2115253-118,Não,204355,Da Vitoria
2115253-118,Sim,141411,Dagoberto Nogueira
2115253-118,Sim,220555,Daiana Santos
2115253-118,Sim,220692,Dal Barreto
2115253-118,Sim,74467,Damião Feliciano
2115253-118,Não,220603,Dani Cunha
2115253-118,Sim,220571,Daniel Agrobom
2115253-118,Sim,74060,Daniel Almeida
2115253-118,Sim,220582,Daniel Barbosa
2115253-118,Não,204367,Daniel Freitas
2115253-118,Não,220614,Daniel Soranz
2115253-118,Não,204409,Daniel Trzeciak
2115253-118,Não,220557,Daniela Reinehr
2115253-118,Não,220659,Dayany Bittencourt
2115253-118,Não,220539,Defensor Stélio Dener
2115253-118,Sim,220565,Delegada Adriana Accorsi
2115253-118,Não,220673,Delegado Caveira
2115253-118,Não,178908,Delegado Éder Mauro
2115253-118,Não,220583,Delegado Fabio Costa
2115253-118,Sim,204512,Delegado Marcelo Freitas
2115253-118,Sim,220701,Delegado Matheus Laiola
2115253-118,Não,220652,Delegado Palumbo
2115253-118,Não,220654,Delegado Paulo Bilynskyj
2115253-118,Não,220619,Delegado Ramagem
2115253-118,Não,220705,Deltan Dallagnol
2115253-118,Sim,220553,Denise Pessôa
2115253-118,Sim,220689,Detinha
2115253-118,Sim,220691,Diego Coronel
2115253-118,Não,178929,Diego Garcia
2115253-118,Sim,220671,Dilvanda Faro
2115253-118,Não,160599,Dimas Fabiano
2115253-118,Sim,220602,Dimas Gadelha
2115253-118,Não,160758,Domingos Sávio
2115253-118,Sim,220573,Dorinaldo Malafaia
2115253-118,Sim,221339,Dr Benjamim
2115253-118,Sim,220688,Dr. Francisco
2115253-118,Não,204518,Dr. Frederico
2115253-118,Não,204481,Dr. Jaziel
2115253-118,Não,204351,Dr. Luiz Ovando
2115253-118,Sim,220674,Dra. Alessandra Haber
2115253-118,Sim,220540,Duda Ramos
2115253-118,Sim,220623,Duda Salabert
2115253-118,Sim,204541,Eduardo Bismarck
2115253-118,Não,92346,Eduardo Bolsonaro
2115253-118,Sim,141421,Eduardo da Fonte
2115253-118,Sim,74075,Elcione Barbalho
2115253-118,Sim,198783,Emanuel Pinheiro Neto
2115253-118,Não,161550,Emidinho Madeira
2115253-118,Sim,220663,Eriberto Medeiros
2115253-118,Sim,220645,Erika Hilton
2115253-118,Sim,160575,Erika Kokay
2115253-118,Não,160640,Eros Biondini
2115253-118,Sim,204482,Euclydes Pettersen
2115253-118,Não,178871,Evair Vieira de Melo
2115253-118,Não,178905,Fabio Garcia
2115253-118,Sim,171623,Fabio Reis
2115253-118,Não,204368,Fabio Schiochet
2115253-118,Sim,220653,Fábio Teruel
2115253-118,Não,66828,Fausto Pinato
2115253-118,Sim,220712,Fausto Santos Jr.
2115253-118,Sim,72442,Felipe Carreras
2115253-118,Não,204398,Felipe Francischini
2115253-118,Sim,160666,Félix Mendonça Júnior
2115253-118,Sim,204407,Fernanda Melchionna
2115253-118,Sim,220656,Fernanda Pessoa
2115253-118,Sim,204445,Fernando Mineiro
2115253-118,Não,92699,Fernando Monteiro
2115253-118,Não,204427,Fernando Rodolfo
2115253-118,Não,220545,Filipe Martins
2115253-118,Sim,160598,Flávia Morais
2115253-118,Sim,191923,Flávio Nogueira
2115253-118,Sim,220700,Florentino Neto
2115253-118,Não,220551,Franciane Bayer
2115253-118,Sim,204494,Fred Costa
2115253-118,Não,220534,Fred Linhares
2115253-118,Não,224117,Gabriel Mota
2115253-118,Sim,220708,Gabriel Nunes
2115253-118,Não,204473,General Girão
2115253-118,Não,220611,General Pazuello
2115253-118,Não,178966,Geovania de Sá
2115253-118,Sim,220702,Geraldo Mendes
2115253-118,Não,220587,Gerlen Diniz
2115253-118,Sim,204394,Gervásio Maia
2115253-118,Não,74383,Giacobo
2115253-118,Não,204491,Gilberto Abramo
2115253-118,Não,204365,Gilson Marques
2115253-118,Não,220526,Gilvan da Federal
2115253-118,Não,220531,Gilvan Maximo
2115253-118,Não,160673,Giovani Cherini
2115253-118,Sim,152605,Glauber Braga
2115253-118,Sim,204419,Glaustin da Fokus
2115253-118,Sim,107283,Gleisi Hoffmann
2115253-118,Não,198197,Greyce Elias
2115253-118,Sim,220639,Guilherme Boulos
2115253-118,Não,204408,Gustinho Ribeiro
2115253-118,Sim,204456,Gutemberg Reis
2115253-118,Sim,178873,Helder Salomão
2115253-118,Sim,220537,Helena Lima
2115253-118,Não,204444,Helio Lopes
2115253-118,Sim,220672,Henderson Pinto
2115253-118,Sim,204539,Hercílio Coelho Diniz
2115253-118,Não,220563,Icaro de Valmir
2115253-118,Sim,204533,Idilvan Alencar
2115253-118,Sim,204508,Igor Timo
2115253-118,Sim,98615,Ismael
2115253-118,Sim,220570,Ismael Alexandrino
2115253-118,Sim,73531,Ivan Valente
2115253-118,Sim,220696,Ivoneide Caetano
2115253-118,Sim,220670,Iza Arruda
2115253-118,Sim,220527,Jack Rocha
2115253-118,Sim,74848,Jandira Feghali
2115253-118,Não,220567,Jeferson Rodrigues
2115253-118,Não,74273,Jefferson Campos
2115253-118,Não,141459,João Maia
2115253-118,Não,178910,Joaquim Passarinho
2115253-118,Sim,160548,Jonas Donizette
2115253-118,Não,205550,Jorge Braz
2115253-118,Sim,178857,Jorge Solla
2115253-118,Sim,141464,José Airton Félix Cirilo
2115253-118,Sim,74079,José Priante
2115253-118,Sim,220578,Josenildo
2115253-118,Sim,74141,Josias Gomes
2115253-118,Sim,204563,Josimar Maranhãozinho
2115253-118,Sim,215043,Josivaldo JP
2115253-118,Sim,204474,Juarez Costa
2115253-118,Não,220559,Julia Zanatta
2115253-118,Sim,220640,Juliana Cardoso
2115253-118,Não,66385,Julio Arcoverde
2115253-118,Sim,74317,Júlio Cesar
2115253-118,Não,74253,Julio Lopes
2115253-118,Sim,204457,Juninho do Pneu
2115253-118,Não,204520,Junio Amaral
2115253-118,Não,204497,Júnior Ferrari
2115253-118,Sim,220677,Keniston Braga
2115253-118,Sim,162067,Kiko Celeguim
2115253-118,Não,204536,Kim Kataguiri
2115253-118,Não,98057,Lafayette de Andrada
2115253-118,Não,141480,Lázaro Botelho
2115253-118,Sim,220600,Lebrão
2115253-118,Não,220566,Lêda Borges
2115253-118,Sim,80815,Léo Prates
2115253-118,Sim,74156,Leonardo Monteiro
2115253-118,Sim,74299,Leônidas Cristino
2115253-118,Sim,92102,Leur Lomanto Júnior
2115253-118,Sim,139285,Lídice da Mata
2115253-118,Não,74585,Lincoln Portela
2115253-118,Sim,74858,Lindbergh Farias
2115253-118,Sim,220662,Lucas Ramos
2115253-118,Não,204404,Lucas Redecker
2115253-118,Sim,138286,Luciano Alves
2115253-118,Sim,220581,Luciano Amaral
2115253-118,Sim,74478,Luciano Bivar
2115253-118,Sim,178931,Luciano Ducci
2115253-118,Sim,220616,Luciano Vieira
2115253-118,Não,222429,Luis Carlos Gomes
2115253-118,Sim,204410,Luisa Canziani
2115253-118,Não,204448,Luiz Antônio Corrêa
2115253-118,Não,204485,Luiz Carlos Motta
2115253-118,Sim,141487,Luiz Fernando Faria
2115253-118,Não,204455,Luiz Lima
2115253-118,Sim,162332,Luiz Nishimori
2115253-118,Não,204526,Luiz Philippe de Orleans e Bragança
2115253-118,Sim,178866,Luizianne Lins
2115253-118,Sim,220669,Lula da Fonte
2115253-118,Não,166402,Magda Mofatto
2115253-118,Sim,220648,Marangoni
2115253-118,Não,156190,Marcel van Hattem
2115253-118,Não,220599,Marcelo Crivella
2115253-118,Sim,220634,Marcelo Lima
2115253-118,Não,160161,Marcelo Queiroz
2115253-118,Não,178983,Marcio Alvino
2115253-118,Sim,179001,Márcio Biolchi
2115253-118,Sim,81055,Márcio Jerry
2115253-118,Não,150418,Márcio Marinho
2115253-118,Não,204522,Marco Bertaiolli
2115253-118,Não,219585,Marco Brasil
2115253-118,Sim,204431,Marcos Aurélio Sampaio
2115253-118,Artigo 17,204506,Marcos Pereira
2115253-118,Não,220547,Marcos Pollon
2115253-118,Sim,178943,Marcos Soares
2115253-118,Sim,220604,Marcos Tavares
2115253-118,Sim,220668,Maria Arraes
2115253-118,Sim,74398,Maria do Rosário
2115253-118,Não,204540,Maria Rosas
2115253-118,Sim,74158,Mário Heringer
2115253-118,Não,178858,Mário Negromonte Jr.
2115253-118,Sim,220572,Marussa Boldrin
2115253-118,Não,178843,Marx Beltrão
2115253-118,Não,220609,Maurício Carvalho
2115253-118,Não,220628,Mauricio do Vôlei
2115253-118,Não,220550,Mauricio Marcon
2115253-118,Não,220647,Mauricio Neves
2115253-118,Sim,204486,Mauro Benevides Filho
2115253-118,Sim,220607,Max Lemos
2115253-118,Sim,220591,Meire Serafim
2115253-118,Não,74428,Mendonça Filho
2115253-118,Sim,188097,Merlong Solano
2115253-118,Não,220585,Mersinho Lucena
2115253-118,Não,220530,Messias Donato
2115253-118,Sim,171786,Miguel Ângelo
2115253-118,Não,178985,Miguel Lombardi
2115253-118,Não,154178,Milton Vieira
2115253-118,Sim,178895,Misael Varella
2115253-118,Sim,178997,Moses Rodrigues
2115253-118,Sim,220617,Murillo Gouvea
2115253-118,Sim,220584,Murilo Galdino
2115253-118,Sim,204453,Natália Bonavides
2115253-118,Sim,220703,Neto Carletto
2115253-118,Não,178896,Newton Cardoso Jr
2115253-118,Não,204479,Nicoletti
2115253-118,Sim,178986,Nilto Tatto
2115253-118,Sim,204498,Olival Marques
2115253-118,Sim,178987,Orlando Silva
2115253-118,Sim,204441,Otoni de Paula
2115253-118,Sim,204573,Otto Alencar Filho
2115253-118,Sim,160556,Padre João
2115253-118,Sim,180214,Pastor Diniz
2115253-118,Não,160642,Pastor Eurico
2115253-118,Não,204570,Pastor Gil
2115253-118,Sim,220615,Pastor Henrique Vieira
2115253-118,Sim,204553,Pastor Sargento Isidório
2115253-118,Sim,171617,Paulão
2115253-118,Sim,220627,Paulinho Freire
2115253-118,Não,141516,Paulo Abi-Ackel
2115253-118,Não,220650,Paulo Alexandre Barbosa
2115253-118,Não,160558,Paulo Freire Costa
2115253-118,Sim,204492,Paulo Guedes
2115253-118,Não,220685,Paulo Litro
2115253-118,Sim,74574,Paulo Magalhães
2115253-118,Não,220630,Pedro Aihara
2115253-118,Sim,220667,Pedro Campos
2115253-118,Sim,122974,Pedro Lucas Fernandes
2115253-118,Não,204395,Pedro Lupion
2115253-118,Não,122158,Pedro Paulo
2115253-118,Sim,160604,Pedro Uczai
2115253-118,Não,204406,Pedro Westphalen
2115253-118,Não,161440,Pezenti
2115253-118,Não,204524,Pinheirinho
2115253-118,Sim,73486,Pompeo de Mattos
2115253-118,Não,160601,Pr. Marco Feliciano
2115253-118,Não,89536,Prof. Paulo Fernando
2115253-118,Sim,220533,Prof. Reginaldo Veras
2115253-118,Sim,220580,Professora Goreth
2115253-118,Sim,221338,Professora Luciene Cavalcante
2115253-118,Sim,220586,Rafael Brito
2115253-118,Sim,220532,Rafael Prudente
2115253-118,Não,220626,Rafael Simoes
2115253-118,Sim,204567,Raimundo Costa
2115253-118,Sim,74084,Raimundo Santos
2115253-118,Sim,74161,Reginaldo Lopes
2115253-118,Sim,221378,Reginete Bispo
2115253-118,Sim,220606,Reimont
2115253-118,Não,205865,Reinhold Stephanes
2115253-118,Sim,178989,Renata Abreu
2115253-118,Sim,153423,Renilce Nicodemos
2115253-118,Sim,73801,Renildo Calheiros
2115253-118,Sim,221329,Ricardo Abrão
2115253-118,Sim,220543,Ricardo Ayres
2115253-118,Não,204362,Ricardo Guidi
2115253-118,Sim,220694,Ricardo Maia
2115253-118,Não,220633,Ricardo Salles
2115253-118,Não,220693,Roberta Roma
2115253-118,Não,220588,Roberto Duarte
2115253-118,Não,220613,Roberto Monteiro
2115253-118,Não,220546,Rodolfo Nogueira
2115253-118,Sim,141531,Rodrigo de Castro
2115253-118,Sim,223128,Rodrigo Estacho
2115253-118,Não,220695,Rogéria Santos
2115253-118,Sim,160629,Romero Rodrigues
2115253-118,Não,204525,Rosana Valle
2115253-118,Não,220644,Rosângela Moro
2115253-118,Não,220620,Rosângela Reis
2115253-118,Sim,73806,Roseana Sarney
2115253-118,Sim,74371,Rubens Otoni
