idVotacao,voto,deputado_id,deputado_nome
2352476-40,Sim,178835,Afonso Motta
2352476-40,Não,204501,Alencar Santana
2352476-40,Sim,220576,Alfredo Gaspar
2352476-40,Não,220638,Antonio Carlos Rodrigues
2352476-40,Não,123086,Átila Lira
2352476-40,Não,69871,Bacelar
2352476-40,Não,220574,Cabo Gilberto Silva
2352476-40,Não,204426,Carlos Veras
2352476-40,Não,204369,Caroline de Toni
2352476-40,Não,205476,Charles Fernandes
2352476-40,Não,204462,Chris Tonietto
2352476-40,Não,98148,Cobalchini
2352476-40,Não,220595,Coronel Fernanda
2352476-40,Não,220603,Dani Cunha
2352476-40,Não,220561,Delegada Katarina
2352476-40,Não,178908,Delegado Éder Mauro
2352476-40,Não,204512,Delegado Marcelo Freitas
2352476-40,Não,220619,Delegado Ramagem
2352476-40,Sim,220705,Deltan Dallagnol
2352476-40,Não,220691,Diego Coronel
2352476-40,Sim,178929,Diego Garcia
2352476-40,Não,220528,Dr. Victor Linhalis
2352476-40,Não,220712,Fausto Santos Jr.
2352476-40,Não,204398,Felipe Francischini
2352476-40,Não,191923,Flávio Nogueira
2352476-40,Sim,220587,Gerlen Diniz
2352476-40,Sim,204365,Gilson Marques
2352476-40,Não,107283,Gleisi Hoffmann
2352476-40,Não,178873,Helder Salomão
2352476-40,Não,214694,Jorge Goetten
2352476-40,Não,204474,Juarez Costa
2352476-40,Não,220559,Julia Zanatta
2352476-40,Sim,204536,Kim Kataguiri
2352476-40,Não,74858,Lindbergh Farias
2352476-40,Não,204404,Lucas Redecker
2352476-40,Não,74041,Luiz Couto
2352476-40,Não,220658,Luiz Gastão
2352476-40,Não,133810,Marcelo Moraes
2352476-40,Sim,220604,Marcos Tavares
2352476-40,Não,204479,Nicoletti
2352476-40,Não,74160,Patrus Ananias
2352476-40,Sim,220667,Pedro Campos
2352476-40,Não,160601,Pr. Marco Feliciano
2352476-40,Sim,220588,Roberto Duarte
2352476-40,Não,220624,Robinson Faria
2352476-40,Não,220644,Rosângela Moro
2352476-40,Não,220620,Rosângela Reis
2352476-40,Não,73604,Rui Falcão
2352476-40,Sim,204535,Sâmia Bomfim
2352476-40,Sim,220598,Tarcísio Motta
