idVotacao,voto,deputado_id,deputado_nome
2309995-40,Não,178835,Afonso Motta
2309995-40,Sim,204501,Alencar Santana
2309995-40,Não,220576,Alfredo Gaspar
2309995-40,Não,123086,Átila Lira
2309995-40,Sim,69871,Bacelar
2309995-40,Não,204572,Capitão Alberto Neto
2309995-40,Não,178829,Capitão Augusto
2309995-40,Não,204460,Carlos Jordy
2309995-40,Sim,204426,Carlos Veras
2309995-40,Não,98148,Cobalchini
2309995-40,Não,220666,Coronel Meira
2309995-40,Não,204512,Delegado Marcelo Freitas
2309995-40,Não,220619,Delegado Ramagem
2309995-40,Não,178929,Diego Garcia
2309995-40,Sim,220686,Duarte
2309995-40,Não,204541,Eduardo Bismarck
2309995-40,Sim,191923,Flávio Nogueira
2309995-40,Não,220587,Gerlen Diniz
2309995-40,Sim,204394,Gervásio Maia
2309995-40,Não,204365,Gilson Marques
2309995-40,Sim,178873,Helder Salomão
2309995-40,Sim,141470,José Guimarães
2309995-40,Não,204474,Juarez Costa
2309995-40,Não,98057,Lafayette de Andrada
2309995-40,Sim,74858,Lindbergh Farias
2309995-40,Não,204404,Lucas Redecker
2309995-40,Sim,74041,Luiz Couto
2309995-40,Sim,220658,Luiz Gastão
2309995-40,Não,220547,Marcos Pollon
2309995-40,Não,74428,Mendonça Filho
2309995-40,Não,204479,Nicoletti
2309995-40,Não,204395,Pedro Lupion
2309995-40,Não,160601,Pr. Marco Feliciano
2309995-40,Não,220588,Roberto Duarte
2309995-40,Não,220624,Robinson Faria
2309995-40,Não,220644,Rosângela Moro
2309995-40,Não,220620,Rosângela Reis
2309995-40,Sim,74371,Rubens Otoni
2309995-40,Abstenção,73604,Rui Falcão
2309995-40,Sim,220598,Tarcísio Motta
2309995-40,Sim,91228,Waldemar Oliveira
2309995-40,Não,220536,Zé Haroldo Cathedral
