idVotacao,voto,deputado_id,deputado_nome
2326749-8,Não,220593,Abilio Brunini
2326749-8,Sim,204379,Acácio Favacho
2326749-8,Sim,220714,Adail Filho
2326749-8,Sim,221328,Adilson Barroso
2326749-8,Sim,204560,Adolfo Viana
2326749-8,Não,204528,Adriana Ventura
2326749-8,Sim,121948,Adriano do Baldy
2326749-8,Sim,74646,Aécio Neves
2326749-8,Sim,178835,Afonso Motta
2326749-8,Não,204495,Airton Faleiro
2326749-8,Sim,73579,Alberto Fraga
2326749-8,Sim,74696,Alberto Mourão
2326749-8,Sim,160559,Alceu Moreira
2326749-8,Não,204501,Alencar Santana
2326749-8,Sim,178972,Alex Manente
2326749-8,Sim,204571,Alex Santana
2326749-8,Sim,220542,Alexandre Guimarães
2326749-8,Sim,160545,Alexandre Leite
2326749-8,Não,220554,Alexandre Lindenmeyer
2326749-8,Não,221148,Alfredinho
2326749-8,Sim,220576,Alfredo Gaspar
2326749-8,Não,74057,Alice Portugal
2326749-8,Não,178927,Aliel Machado
2326749-8,Sim,220596,Amália Barros
2326749-8,Sim,220707,Amanda Gentil
2326749-8,Sim,204356,Amaro Neto
2326749-8,Sim,220715,Amom Mandel
2326749-8,Sim,107970,Ana Paula Leão
2326749-8,Não,220556,Ana Paula Lima
2326749-8,Não,220632,Ana Pimentel
2326749-8,Sim,133439,André Figueiredo
2326749-8,Sim,220676,Andreia Siqueira
2326749-8,Sim,220638,Antonio Carlos Rodrigues
2326749-8,Sim,220675,Antônio Doido
2326749-8,Não,220549,Any Ortiz
2326749-8,Não,73433,Arlindo Chinaglia
2326749-8,Sim,141391,Arnaldo Jardim
2326749-8,Sim,74090,Átila Lins
2326749-8,Sim,123086,Átila Lira
2326749-8,Sim,160665,Augusto Coutinho
2326749-8,Sim,220577,Augusto Puppio
2326749-8,Sim,160512,Aureo Ribeiro
2326749-8,Não,69871,Bacelar
2326749-8,Sim,178975,Baleia Rossi
2326749-8,Não,220605,Bandeira de Mello
2326749-8,Sim,220612,Bebeto
2326749-8,Não,73701,Benedita da Silva
2326749-8,Sim,109429,Benes Leocádio
2326749-8,Sim,204358,Beto Pereira
2326749-8,Sim,220698,Beto Preto
2326749-8,Sim,220683,Beto Richa
2326749-8,Sim,204374,Bia Kicis
2326749-8,Sim,204388,Bibo Nunes
2326749-8,Não,160538,Bohn Gass
2326749-8,Sim,220635,Bruno Ganem
2326749-8,Sim,220574,Cabo Gilberto Silva
2326749-8,Não,220548,Camila Jara
2326749-8,Sim,204572,Capitão Alberto Neto
2326749-8,Sim,220690,Capitão Alden
2326749-8,Sim,178829,Capitão Augusto
2326749-8,Sim,204507,Carla Zambelli
2326749-8,Sim,204361,Carlos Chiodini
2326749-8,Sim,178962,Carlos Gomes
2326749-8,Sim,178993,Carlos Henrique Gaguim
2326749-8,Não,204460,Carlos Jordy
2326749-8,Sim,74262,Carlos Sampaio
2326749-8,Não,204426,Carlos Veras
2326749-8,Não,141398,Carlos Zarattini
2326749-8,Não,220704,Carol Dartora
2326749-8,Sim,204369,Caroline de Toni
2326749-8,Sim,220699,Castro Neto
2326749-8,Não,206018,Célia Xakriabá
2326749-8,Sim,178876,Célio Silveira
2326749-8,Sim,73441,Celso Russomanno
2326749-8,Sim,204496,Celso Sabino
2326749-8,Sim,204504,Cezinha de Madureira
2326749-8,Sim,205476,Charles Fernandes
2326749-8,Não,74171,Chico Alencar
2326749-8,Sim,204476,Chiquinho Brazão
2326749-8,Sim,204462,Chris Tonietto
2326749-8,Sim,220665,Clarissa Tércio
2326749-8,Sim,74537,Claudio Cajado
2326749-8,Não,88256,Clodoaldo Magalhães
2326749-8,Sim,98148,Cobalchini
2326749-8,Sim,220594,Coronel Assis
2326749-8,Sim,204378,Coronel Chrisóstomo
2326749-8,Sim,220595,Coronel Fernanda
2326749-8,Sim,220666,Coronel Meira
2326749-8,Sim,222142,Coronel Telhada
2326749-8,Sim,220590,Coronel Ulysses
2326749-8,Sim,178963,Covatti Filho
2326749-8,Sim,204355,Da Vitoria
2326749-8,Não,141411,Dagoberto Nogueira
2326749-8,Sim,74467,Damião Feliciano
2326749-8,Não,220629,Dandara
2326749-8,Sim,220603,Dani Cunha
2326749-8,Sim,220571,Daniel Agrobom
2326749-8,Sim,220582,Daniel Barbosa
2326749-8,Sim,204367,Daniel Freitas
2326749-8,Não,220614,Daniel Soranz
2326749-8,Sim,204409,Daniel Trzeciak
2326749-8,Sim,220557,Daniela Reinehr
2326749-8,Sim,204511,David Soares
2326749-8,Sim,220659,Dayany Bittencourt
2326749-8,Sim,220539,Defensor Stélio Dener
2326749-8,Não,220565,Delegada Adriana Accorsi
2326749-8,Não,220625,Delegada Ione
2326749-8,Sim,220561,Delegada Katarina
2326749-8,Sim,220673,Delegado Caveira
2326749-8,Sim,220649,Delegado da Cunha
2326749-8,Sim,178908,Delegado Éder Mauro
2326749-8,Sim,220583,Delegado Fabio Costa
2326749-8,Sim,204512,Delegado Marcelo Freitas
2326749-8,Sim,220701,Delegado Matheus Laiola
2326749-8,Sim,220652,Delegado Palumbo
2326749-8,Sim,220654,Delegado Paulo Bilynskyj
2326749-8,Sim,220619,Delegado Ramagem
2326749-8,Sim,220705,Deltan Dallagnol
2326749-8,Não,220553,Denise Pessôa
2326749-8,Sim,220691,Diego Coronel
2326749-8,Sim,178929,Diego Garcia
2326749-8,Sim,73768,Dilceu Sperafico
2326749-8,Não,220671,Dilvanda Faro
2326749-8,Sim,160599,Dimas Fabiano
2326749-8,Não,220602,Dimas Gadelha
2326749-8,Sim,143632,Domingos Neto
2326749-8,Sim,160758,Domingos Sávio
2326749-8,Sim,220573,Dorinaldo Malafaia
2326749-8,Sim,221339,Dr Benjamim
2326749-8,Sim,220610,Dr. Fernando Máximo
2326749-8,Não,220688,Dr. Francisco
2326749-8,Sim,204518,Dr. Frederico
2326749-8,Sim,204351,Dr. Luiz Ovando
2326749-8,Sim,220528,Dr. Victor Linhalis
2326749-8,Sim,204412,Dr. Zacharias Calil
2326749-8,Sim,220674,Dra. Alessandra Haber
2326749-8,Sim,220540,Duda Ramos
2326749-8,Não,220623,Duda Salabert
2326749-8,Não,204541,Eduardo Bismarck
2326749-8,Sim,92346,Eduardo Bolsonaro
2326749-8,Sim,220589,Eduardo Velloso
2326749-8,Não,74075,Elcione Barbalho
2326749-8,Sim,204364,Eli Borges
2326749-8,Não,198783,Emanuel Pinheiro Neto
2326749-8,Sim,161550,Emidinho Madeira
2326749-8,Não,160575,Erika Kokay
2326749-8,Sim,160640,Eros Biondini
2326749-8,Sim,178871,Evair Vieira de Melo
2326749-8,Sim,178905,Fabio Garcia
2326749-8,Sim,171623,Fabio Reis
2326749-8,Não,220653,Fábio Teruel
2326749-8,Sim,220712,Fausto Santos Jr.
2326749-8,Sim,220646,Felipe Becari
2326749-8,Sim,204398,Felipe Francischini
2326749-8,Sim,160666,Félix Mendonça Júnior
2326749-8,Não,204407,Fernanda Melchionna
2326749-8,Sim,220656,Fernanda Pessoa
2326749-8,Sim,141431,Fernando Coelho Filho
2326749-8,Não,204445,Fernando Mineiro
2326749-8,Sim,92699,Fernando Monteiro
2326749-8,Sim,204411,Filipe Barros
2326749-8,Sim,220545,Filipe Martins
2326749-8,Sim,160598,Flávia Morais
2326749-8,Não,191923,Flávio Nogueira
2326749-8,Não,220700,Florentino Neto
2326749-8,Sim,220551,Franciane Bayer
2326749-8,Sim,220534,Fred Linhares
2326749-8,Sim,224117,Gabriel Mota
2326749-8,Sim,220708,Gabriel Nunes
2326749-8,Sim,204473,General Girão
2326749-8,Sim,220611,General Pazuello
2326749-8,Sim,178966,Geovania de Sá
2326749-8,Não,74374,Geraldo Resende
2326749-8,Sim,220587,Gerlen Diniz
2326749-8,Sim,204394,Gervásio Maia
2326749-8,Sim,204491,Gilberto Abramo
2326749-8,Sim,220529,Gilson Daniel
2326749-8,Não,204365,Gilson Marques
2326749-8,Sim,220526,Gilvan da Federal
2326749-8,Sim,220531,Gilvan Maximo
2326749-8,Sim,160673,Giovani Cherini
2326749-8,Não,152605,Glauber Braga
2326749-8,Sim,204419,Glaustin da Fokus
2326749-8,Não,107283,Gleisi Hoffmann
2326749-8,Não,220639,Guilherme Boulos
2326749-8,Não,220664,Guilherme Uchoa
2326749-8,Sim,220568,Gustavo Gayer
2326749-8,Sim,204408,Gustinho Ribeiro
2326749-8,Não,178873,Helder Salomão
2326749-8,Não,220537,Helena Lima
2326749-8,Sim,204444,Helio Lopes
2326749-8,Sim,220672,Henderson Pinto
2326749-8,Sim,160674,Hugo Motta
2326749-8,Sim,220563,Icaro de Valmir
2326749-8,Sim,98615,Ismael
2326749-8,Sim,220570,Ismael Alexandrino
2326749-8,Sim,204436,Isnaldo Bulhões Jr.
2326749-8,Não,73531,Ivan Valente
2326749-8,Não,220696,Ivoneide Caetano
2326749-8,Não,220527,Jack Rocha
2326749-8,Não,220697,Jadyel Alencar
2326749-8,Sim,220567,Jeferson Rodrigues
2326749-8,Não,141458,João Carlos Bacelar
2326749-8,Não,178970,João Daniel
2326749-8,Sim,74550,João Leão
2326749-8,Sim,141459,João Maia
2326749-8,Sim,178910,Joaquim Passarinho
2326749-8,Não,160548,Jonas Donizette
2326749-8,Sim,205550,Jorge Braz
2326749-8,Sim,214694,Jorge Goetten
2326749-8,Não,141470,José Guimarães
2326749-8,Sim,204472,José Medeiros
2326749-8,Sim,74079,José Priante
2326749-8,Não,209189,Joseildo Ramos
2326749-8,Sim,220578,Josenildo
2326749-8,Não,74141,Josias Gomes
2326749-8,Sim,215043,Josivaldo JP
2326749-8,Sim,204474,Juarez Costa
2326749-8,Sim,220559,Julia Zanatta
2326749-8,Não,220640,Juliana Cardoso
2326749-8,Sim,66385,Julio Arcoverde
2326749-8,Sim,74253,Julio Lopes
2326749-8,Sim,204520,Junio Amaral
2326749-8,Sim,204497,Júnior Ferrari
2326749-8,Sim,204550,Júnior Mano
2326749-8,Sim,220677,Keniston Braga
2326749-8,Não,162067,Kiko Celeguim
2326749-8,Sim,98057,Lafayette de Andrada
2326749-8,Sim,141480,Lázaro Botelho
2326749-8,Sim,220600,Lebrão
2326749-8,Sim,220566,Lêda Borges
2326749-8,Sim,80815,Léo Prates
2326749-8,Não,74156,Leonardo Monteiro
