idVotacao,voto,deputado_id,deputado_nome
2345368-50,Sim,220593,Abilio Brunini
2345368-50,Sim,221328,Adilson Barroso
2345368-50,Sim,204560,Adolfo Viana
2345368-50,Sim,204528,Adriana Ventura
2345368-50,Não,178835,Afonso Motta
2345368-50,Não,204495,Airton Faleiro
2345368-50,Não,204549,AJ Albuquerque
2345368-50,Sim,73579,Alberto Fraga
2345368-50,Não,204501,Alencar Santana
2345368-50,Não,220554,Alexandre Lindenmeyer
2345368-50,Sim,220576,Alfredo Gaspar
2345368-50,Não,74057,Alice Portugal
2345368-50,Sim,178881,Aluisio Mendes
2345368-50,Sim,220596,Amália Barros
2345368-50,Sim,204356,Amaro Neto
2345368-50,Sim,107970,Ana Paula Leão
2345368-50,Não,220556,Ana Paula Lima
2345368-50,Sim,220657,André Fernandes
2345368-50,Não,133439,André Figueiredo
2345368-50,Não,220675,Antônio Doido
2345368-50,Não,73433,Arlindo Chinaglia
2345368-50,Sim,141391,Arnaldo Jardim
2345368-50,Artigo 17,160541,Arthur Lira
2345368-50,Sim,160665,Augusto Coutinho
2345368-50,Sim,220577,Augusto Puppio
2345368-50,Não,69871,Bacelar
2345368-50,Não,220605,Bandeira de Mello
2345368-50,Não,73701,Benedita da Silva
2345368-50,Sim,109429,Benes Leocádio
2345368-50,Sim,220683,Beto Richa
2345368-50,Sim,204374,Bia Kicis
2345368-50,Sim,204388,Bibo Nunes
2345368-50,Não,160538,Bohn Gass
2345368-50,Não,220635,Bruno Ganem
2345368-50,Não,220548,Camila Jara
2345368-50,Sim,204572,Capitão Alberto Neto
2345368-50,Sim,220690,Capitão Alden
2345368-50,Sim,178962,Carlos Gomes
2345368-50,Sim,178993,Carlos Henrique Gaguim
2345368-50,Sim,204460,Carlos Jordy
2345368-50,Sim,74262,Carlos Sampaio
2345368-50,Não,220704,Carol Dartora
2345368-50,Sim,204369,Caroline de Toni
2345368-50,Não,206018,Célia Xakriabá
2345368-50,Sim,178876,Célio Silveira
2345368-50,Não,205476,Charles Fernandes
2345368-50,Não,74171,Chico Alencar
2345368-50,Sim,204476,Chiquinho Brazão
2345368-50,Não,220665,Clarissa Tércio
2345368-50,Não,74537,Claudio Cajado
2345368-50,Sim,141408,Cleber Verde
2345368-50,Não,88256,Clodoaldo Magalhães
2345368-50,Sim,220594,Coronel Assis
2345368-50,Sim,204378,Coronel Chrisóstomo
2345368-50,Sim,220595,Coronel Fernanda
2345368-50,Sim,220666,Coronel Meira
2345368-50,Sim,220590,Coronel Ulysses
2345368-50,Sim,178963,Covatti Filho
2345368-50,Sim,220608,Cristiane Lopes
2345368-50,Não,204355,Da Vitoria
2345368-50,Não,141411,Dagoberto Nogueira
2345368-50,Sim,220692,Dal Barreto
2345368-50,Sim,74467,Damião Feliciano
2345368-50,Não,220629,Dandara
2345368-50,Sim,220603,Dani Cunha
2345368-50,Sim,220571,Daniel Agrobom
2345368-50,Não,74060,Daniel Almeida
2345368-50,Sim,204409,Daniel Trzeciak
2345368-50,Sim,220557,Daniela Reinehr
2345368-50,Sim,62881,Danilo Forte
2345368-50,Sim,220659,Dayany Bittencourt
2345368-50,Sim,220539,Defensor Stélio Dener
2345368-50,Sim,220625,Delegada Ione
2345368-50,Não,220561,Delegada Katarina
2345368-50,Sim,220673,Delegado Caveira
2345368-50,Sim,178908,Delegado Éder Mauro
2345368-50,Não,220583,Delegado Fabio Costa
2345368-50,Sim,204512,Delegado Marcelo Freitas
2345368-50,Não,220701,Delegado Matheus Laiola
2345368-50,Sim,220652,Delegado Palumbo
2345368-50,Sim,220654,Delegado Paulo Bilynskyj
2345368-50,Sim,220619,Delegado Ramagem
2345368-50,Não,220553,Denise Pessôa
2345368-50,Não,220691,Diego Coronel
2345368-50,Sim,178929,Diego Garcia
2345368-50,Não,73768,Dilceu Sperafico
2345368-50,Não,220671,Dilvanda Faro
2345368-50,Sim,160599,Dimas Fabiano
2345368-50,Não,220573,Dorinaldo Malafaia
2345368-50,Sim,220610,Dr. Fernando Máximo
2345368-50,Não,220688,Dr. Francisco
2345368-50,Sim,204481,Dr. Jaziel
2345368-50,Não,220528,Dr. Victor Linhalis
2345368-50,Não,220686,Duarte
2345368-50,Sim,220540,Duda Ramos
2345368-50,Não,220623,Duda Salabert
2345368-50,Não,204541,Eduardo Bismarck
2345368-50,Sim,92346,Eduardo Bolsonaro
2345368-50,Não,141421,Eduardo da Fonte
2345368-50,Não,220589,Eduardo Velloso
2345368-50,Não,74075,Elcione Barbalho
2345368-50,Sim,204364,Eli Borges
2345368-50,Não,198783,Emanuel Pinheiro Neto
2345368-50,Sim,161550,Emidinho Madeira
2345368-50,Sim,178871,Evair Vieira de Melo
2345368-50,Sim,178905,Fabio Garcia
2345368-50,Não,171623,Fabio Reis
2345368-50,Não,220653,Fábio Teruel
2345368-50,Não,220646,Felipe Becari
2345368-50,Não,72442,Felipe Carreras
2345368-50,Sim,204398,Felipe Francischini
2345368-50,Não,160666,Félix Mendonça Júnior
2345368-50,Não,204407,Fernanda Melchionna
2345368-50,Não,92699,Fernando Monteiro
2345368-50,Sim,204427,Fernando Rodolfo
2345368-50,Sim,220545,Filipe Martins
2345368-50,Sim,220551,Franciane Bayer
2345368-50,Não,204494,Fred Costa
2345368-50,Sim,220534,Fred Linhares
2345368-50,Sim,224117,Gabriel Mota
2345368-50,Não,220708,Gabriel Nunes
2345368-50,Sim,204473,General Girão
2345368-50,Sim,220702,Geraldo Mendes
2345368-50,Não,220587,Gerlen Diniz
2345368-50,Não,204394,Gervásio Maia
2345368-50,Sim,74383,Giacobo
2345368-50,Sim,204491,Gilberto Abramo
2345368-50,Não,220529,Gilson Daniel
2345368-50,Sim,204365,Gilson Marques
2345368-50,Sim,220526,Gilvan da Federal
2345368-50,Sim,220531,Gilvan Maximo
2345368-50,Sim,160673,Giovani Cherini
2345368-50,Não,152605,Glauber Braga
2345368-50,Sim,204419,Glaustin da Fokus
2345368-50,Não,220639,Guilherme Boulos
2345368-50,Sim,220568,Gustavo Gayer
2345368-50,Sim,204408,Gustinho Ribeiro
2345368-50,Não,204456,Gutemberg Reis
2345368-50,Não,178964,Heitor Schuch
2345368-50,Não,178873,Helder Salomão
2345368-50,Sim,204444,Helio Lopes
2345368-50,Sim,141450,Hugo Leal
2345368-50,Não,204533,Idilvan Alencar
2345368-50,Não,98615,Ismael
2345368-50,Não,220570,Ismael Alexandrino
2345368-50,Não,220696,Ivoneide Caetano
2345368-50,Não,220527,Jack Rocha
2345368-50,Não,74848,Jandira Feghali
2345368-50,Sim,220567,Jeferson Rodrigues
2345368-50,Sim,74273,Jefferson Campos
2345368-50,Sim,141458,João Carlos Bacelar
2345368-50,Sim,178910,Joaquim Passarinho
2345368-50,Sim,214694,Jorge Goetten
2345368-50,Sim,204472,José Medeiros
2345368-50,Não,74079,José Priante
2345368-50,Não,209189,Joseildo Ramos
2345368-50,Não,220578,Josenildo
2345368-50,Não,74141,Josias Gomes
2345368-50,Não,215043,Josivaldo JP
2345368-50,Sim,220559,Julia Zanatta
2345368-50,Sim,74317,Júlio Cesar
2345368-50,Não,74253,Julio Lopes
2345368-50,Sim,204457,Juninho do Pneu
2345368-50,Sim,204520,Junio Amaral
2345368-50,Não,204497,Júnior Ferrari
2345368-50,Sim,204550,Júnior Mano
2345368-50,Sim,204536,Kim Kataguiri
2345368-50,Sim,98057,Lafayette de Andrada
2345368-50,Não,74856,Laura Carneiro
2345368-50,Não,141480,Lázaro Botelho
2345368-50,Sim,220566,Lêda Borges
2345368-50,Não,80815,Léo Prates
2345368-50,Não,74299,Leônidas Cristino
2345368-50,Não,139285,Lídice da Mata
2345368-50,Não,74858,Lindbergh Farias
2345368-50,Não,220662,Lucas Ramos
2345368-50,Sim,204404,Lucas Redecker
2345368-50,Não,220581,Luciano Amaral
2345368-50,Não,103758,Luciano Azevedo
2345368-50,Sim,178931,Luciano Ducci
2345368-50,Sim,204410,Luisa Canziani
2345368-50,Sim,141485,Luiz Carlos Busato
2345368-50,Sim,204485,Luiz Carlos Motta
2345368-50,Não,74041,Luiz Couto
2345368-50,Não,162332,Luiz Nishimori
2345368-50,Não,178866,Luizianne Lins
2345368-50,Não,220669,Lula da Fonte
2345368-50,Sim,220648,Marangoni
2345368-50,Sim,156190,Marcel van Hattem
2345368-50,Sim,178983,Marcio Alvino
2345368-50,Não,81055,Márcio Jerry
2345368-50,Sim,150418,Márcio Marinho
2345368-50,Sim,204522,Marco Bertaiolli
2345368-50,Não,219585,Marco Brasil
2345368-50,Não,204431,Marcos Aurélio Sampaio
2345368-50,Sim,204506,Marcos Pereira
2345368-50,Sim,220547,Marcos Pollon
2345368-50,Sim,178943,Marcos Soares
2345368-50,Sim,204540,Maria Rosas
2345368-50,Sim,220655,Mario Frias
2345368-50,Não,178843,Marx Beltrão
2345368-50,Sim,220609,Maurício Carvalho
2345368-50,Sim,220628,Mauricio do Vôlei
2345368-50,Não,204486,Mauro Benevides Filho
2345368-50,Sim,220591,Meire Serafim
2345368-50,Não,188097,Merlong Solano
2345368-50,Sim,178985,Miguel Lombardi
2345368-50,Sim,178997,Moses Rodrigues
2345368-50,Não,204453,Natália Bonavides
2345368-50,Não,220703,Neto Carletto
2345368-50,Sim,204479,Nicoletti
2345368-50,Sim,209787,Nikolas Ferreira
2345368-50,Não,178986,Nilto Tatto
2345368-50,Não,178987,Orlando Silva
2345368-50,Não,204573,Otto Alencar Filho
2345368-50,Não,160556,Padre João
2345368-50,Sim,160642,Pastor Eurico
2345368-50,Sim,204570,Pastor Gil
2345368-50,Não,220615,Pastor Henrique Vieira
2345368-50,Não,204553,Pastor Sargento Isidório
2345368-50,Não,160517,Paulo Foletto
2345368-50,Não,204492,Paulo Guedes
2345368-50,Não,220685,Paulo Litro
2345368-50,Não,74574,Paulo Magalhães
2345368-50,Não,220667,Pedro Campos
2345368-50,Sim,122974,Pedro Lucas Fernandes
2345368-50,Sim,204395,Pedro Lupion
2345368-50,Não,160604,Pedro Uczai
2345368-50,Sim,204406,Pedro Westphalen
2345368-50,Não,204524,Pinheirinho
2345368-50,Sim,89536,Prof. Paulo Fernando
2345368-50,Não,220533,Prof. Reginaldo Veras
2345368-50,Não,221338,Professora Luciene Cavalcante
2345368-50,Sim,220532,Rafael Prudente
2345368-50,Sim,220626,Rafael Simoes
2345368-50,Não,74084,Raimundo Santos
2345368-50,Sim,153423,Renilce Nicodemos
2345368-50,Não,73801,Renildo Calheiros
2345368-50,Sim,220543,Ricardo Ayres
2345368-50,Sim,220633,Ricardo Salles
2345368-50,Sim,220588,Roberto Duarte
2345368-50,Sim,220546,Rodolfo Nogueira
2345368-50,Sim,141531,Rodrigo de Castro
2345368-50,Sim,165470,Rodrigo Valadares
2345368-50,Não,204480,Rogério Correia
2345368-50,Não,178887,Rubens Pereira Júnior
2345368-50,Sim,220631,Samuel Viana
2345368-50,Sim,204416,Sanderson
2345368-50,Sim,204387,Sargento Fahur
2345368-50,Sim,220713,Saullo Vianna
2345368-50,Sim,178933,Sergio Souza
2345368-50,Não,204557,Sidney Leite
2345368-50,Sim,220579,Silvia Waiãpi
2345368-50,Sim,220569,Silvye Alves
2345368-50,Sim,220651,Simone Marquetto
2345368-50,Não,104552,Socorro Neri
2345368-50,Sim,178946,Soraya Santos
2345368-50,Sim,178947,Sóstenes Cavalcante
2345368-50,Não,220682,Tadeu Veneri
2345368-50,Não,220598,Tarcísio Motta
2345368-50,Sim,220552,Tenente Coronel Zucco
2345368-50,Sim,220597,Thiago Flores
2345368-50,Não,220684,Tião Medeiros
2345368-50,Não,74283,Vicentinho
2345368-50,Sim,160591,Vinicius Gurgel
2345368-50,Sim,178992,Vitor Lippi
2345368-50,Não,160518,Weliton Prado
2345368-50,Sim,74043,Wellington Roberto
2345368-50,Sim,220564,Yandra Moura
2345368-50,Sim,220660,Yury do Paredão
2345368-50,Não,220536,Zé Haroldo Cathedral
2345368-50,Sim,220558,Zé Trovão
2345368-50,Sim,204517,Zé Vitor
