deputado1,deputado2,peso
Sonize Barbosa,Luiz Fernando Faria,1
Sonize Barbosa,Evair Vieira de Melo,3
Sonize Barbosa,Fernanda Pessoa,1
Sonize Barbosa,Moses Rodrigues,1
Sonize Barbosa,Antônia Lúcia,1
Sonize Barbosa,Gervásio Maia,1
Sonize Barbosa,Coronel Ulysses,3
Sonize Barbosa,Thiago Flores,1
Sonize Barbosa,Vicentinho,1
Sonize Barbosa,Padre João,2
Sonize Barbosa,Daniela Reinehr,1
Sonize Barbosa,Andreia Siqueira,1
Sonize Barbosa,Soraya Santos,1
Sonize Barbosa,Marcelo Álvaro Antônio,1
Sonize Barbosa,Delegada Ione,1
Sonize Barbosa,Pezenti,1
Sonize Barbosa,Enfermeira Ana Paula,1
Sonize Barbosa,Luiz Couto,1
Sonize Barbosa,Delegado Paulo Bilynskyj,1
Sonize Barbosa,Iza Arruda,1
Sonize Barbosa,Fernando Mineiro,1
Sonize Barbosa,Delegado Palumbo,1
Sonize Barbosa,Delegada Katarina,2
Sonize Barbosa,Alfredo Gaspar,3
Sonize Barbosa,Dr Benjamim,1
Sonize Barbosa,Marcelo Queiroz,1
Sonize Barbosa,Rodrigo Gambale,1
Sonize Barbosa,Giacobo,1
Sonize Barbosa,Fernando Rodolfo,1
Sonize Barbosa,Pompeo de Mattos,1
Sonize Barbosa,Guilherme Uchoa,1
Sonize Barbosa,Fausto Santos Jr.,1
Sonize Barbosa,Carlos Henrique Gaguim,1
Sonize Barbosa,Capitão Alden,3
Sonize Barbosa,Ricardo Maia,1
Sonize Barbosa,Natália Bonavides,1
Sonize Barbosa,Hercílio Coelho Diniz,3
Sonize Barbosa,Damião Feliciano,1
Sonize Barbosa,José Rocha,1
Sonize Barbosa,Júnior Ferrari,1
Sonize Barbosa,Waldemar Oliveira,2
Sonize Barbosa,Coronel Meira,1
Sonize Barbosa,Paulo Foletto,1
Sonize Barbosa,Luiz Carlos Hauly,1
Sonize Barbosa,Arthur Oliveira Maia,1
Sonize Barbosa,Emidinho Madeira,1
Sonize Barbosa,Wellington Roberto,1
Sonize Barbosa,Mário Heringer,1
Sonize Barbosa,Claudio Cajado,1
Sonize Barbosa,Pedro Paulo,1
Sonize Barbosa,Eunício Oliveira,1
Sonize Barbosa,Renildo Calheiros,1
Sonize Barbosa,Luiz Nishimori,1
Sonize Barbosa,Magda Mofatto,3
Sonize Barbosa,Renilce Nicodemos,2
Sonize Barbosa,Josenildo,1
Sonize Barbosa,Arnaldo Jardim,1
Sonize Barbosa,Carlos Veras,2
Sonize Barbosa,Meire Serafim,1
Sonize Barbosa,Reimont,1
Sonize Barbosa,Laura Carneiro,2
Sonize Barbosa,Rodrigo de Castro,1
Sonize Barbosa,Kiko Celeguim,1
Sonize Barbosa,Paulo Magalhães,1
Sonize Barbosa,Daniel Barbosa,1
Sonize Barbosa,Benes Leocádio,1
Sonize Barbosa,Rui Falcão,2
Sonize Barbosa,Caio Vianna,1
Sonize Barbosa,Simone Marquetto,1
Sonize Barbosa,Alice Portugal,1
Sonize Barbosa,Maria Arraes,1
Sonize Barbosa,Ana Paula Leão,3
Sonize Barbosa,Joaquim Passarinho,1
Sonize Barbosa,Lídice da Mata,2
Sonize Barbosa,Idilvan Alencar,1
Sonize Barbosa,Elmar Nascimento,1
Sonize Barbosa,Cezinha de Madureira,1
Sonize Barbosa,Dimas Gadelha,1
Sonize Barbosa,Ivoneide Caetano,1
Sonize Barbosa,Bacelar,1
Sonize Barbosa,Raimundo Santos,1
Sonize Barbosa,Cabo Gilberto Silva,1
Sonize Barbosa,Coronel Telhada,1
Sonize Barbosa,Marcon,1
Sonize Barbosa,Amália Barros,1
Sonize Barbosa,Rosângela Reis,1
Sonize Barbosa,Ruy Carneiro,1
Sonize Barbosa,Léo Prates,1
Sonize Barbosa,Gilson Daniel,1
Sonize Barbosa,Ismael Alexandrino,1
Sonize Barbosa,Pastor Henrique Vieira,1
Sonize Barbosa,Dimas Fabiano,1
Sonize Barbosa,Pastor Sargento Isidório,1
Sonize Barbosa,Guilherme Boulos,1
Sonize Barbosa,Jilmar Tatto,1
Sonize Barbosa,Thiago de Joaldo,1
Sonize Barbosa,Max Lemos,1
Sonize Barbosa,Luiz Gastão,1
Sonize Barbosa,Welter,1
Sonize Barbosa,Arlindo Chinaglia,1
Sonize Barbosa,Afonso Motta,1
Sonize Barbosa,Talíria Petrone,1
Sonize Barbosa,Dilvanda Faro,1
Sonize Barbosa,Tiririca,1
Sonize Barbosa,André Ferreira,1
Sonize Barbosa,Celso Sabino,1
Sonize Barbosa,Jonas Donizette,1
Sonize Barbosa,Luisa Canziani,1
Sonize Barbosa,Zé Trovão,1
Sonize Barbosa,Delegada Adriana Accorsi,1
Sonize Barbosa,Glauber Braga,1
Sonize Barbosa,André Fufuca,1
Sonize Barbosa,Erika Kokay,1
Sonize Barbosa,Pr. Marco Feliciano,1
Sonize Barbosa,Bibo Nunes,1
Sonize Barbosa,Antonio Carlos Rodrigues,1
Sonize Barbosa,Tadeu Veneri,1
Sonize Barbosa,Vander Loubet,1
Sonize Barbosa,José Guimarães,2
Sonize Barbosa,Rubens Pereira Júnior,1
Sonize Barbosa,Dandara,1
Sonize Barbosa,Florentino Neto,1
Sonize Barbosa,Alfredinho,1
Sonize Barbosa,Pastor Eurico,1
Sonize Barbosa,Tarcísio Motta,2
Sonize Barbosa,Samuel Viana,1
Sonize Barbosa,Chico Alencar,1
Sonize Barbosa,Zé Haroldo Cathedral,2
Sonize Barbosa,Giovani Cherini,1
Sonize Barbosa,Ana Pimentel,1
Sonize Barbosa,Jorge Solla,1
Sonize Barbosa,Odair Cunha,1
Sonize Barbosa,Fernando Monteiro,1
Sonize Barbosa,Delegado Éder Mauro,3
Sonize Barbosa,Eduardo Bolsonaro,1
Sonize Barbosa,Coronel Chrisóstomo,3
Sonize Barbosa,Gabriel Nunes,1
Sonize Barbosa,André Figueiredo,1
Sonize Barbosa,Miguel Lombardi,1
Sonize Barbosa,Lucas Ramos,1
Sonize Barbosa,Luciano Azevedo,1
Sonize Barbosa,Capitão Alberto Neto,1
Sonize Barbosa,Rodolfo Nogueira,1
Sonize Barbosa,Carol Dartora,1
Sonize Barbosa,Mauricio do Vôlei,1
Sonize Barbosa,Vermelho,1
Sonize Barbosa,General Girão,1
Sonize Barbosa,Caroline de Toni,2
Sonize Barbosa,Lucas Redecker,2
Sonize Barbosa,Kim Kataguiri,2
Sonize Barbosa,Messias Donato,2
Sonize Barbosa,Tenente Coronel Zucco,2
Sonize Barbosa,Ricardo Salles,2
Sonize Barbosa,Paulão,1
Sonize Barbosa,Pedro Campos,1
Mauricio Neves,Sonize Barbosa,1
Mauricio Neves,Helder Salomão,2
Mauricio Neves,Bohn Gass,1
Mauricio Neves,Delegado Caveira,1
Mauricio Neves,Reginete Bispo,1
Mauricio Neves,Ana Paula Lima,1
Mauricio Neves,Jack Rocha,1
Mauricio Neves,Júnior Mano,1
Mauricio Neves,Márcio Honaiser,1
Mauricio Neves,Célio Studart,1
Mauricio Neves,Lêda Borges,1
Mauricio Neves,Dr. Frederico,1
Mauricio Neves,Alceu Moreira,1
Mauricio Neves,Marcelo Lima,1
Mauricio Neves,Júlio Cesar,1
Mauricio Neves,Flávio Nogueira,2
