deputado1,deputado2,peso
Reginaldo Lopes,Pedro Paulo,1
Reginaldo Lopes,Eunício Oliveira,1
Reginaldo Lopes,Renildo Calheiros,1
Reginaldo Lopes,Luiz Nishimori,1
Reginaldo Lopes,Magda Mofatto,3
Reginaldo Lopes,Renilce Nicodemos,2
Reginaldo Lopes,Josenildo,1
Reginaldo Lopes,Arnaldo Jardim,1
Reginaldo Lopes,Carlos Veras,2
Reginaldo Lopes,Meire Serafim,1
Reginaldo Lopes,Reimont,1
Reginaldo Lopes,Laura Carneiro,2
Reginaldo Lopes,Rodrigo de Castro,1
Reginaldo Lopes,Kiko Celeguim,1
Reginaldo Lopes,Paulo Magalhães,1
Reginaldo Lopes,Daniel Barbosa,1
Reginaldo Lopes,Benes Leocádio,1
Reginaldo Lopes,Rui Falcão,2
Reginaldo Lopes,Caio Vianna,1
Reginaldo Lopes,Simone Marquetto,1
Reginaldo Lopes,Alice Portugal,1
Reginaldo Lopes,Maria Arraes,1
Reginaldo Lopes,Ana Paula Leão,3
Reginaldo Lopes,Joaquim Passarinho,1
Reginaldo Lopes,Lídice da Mata,2
Reginaldo Lopes,Idilvan Alencar,1
Reginaldo Lopes,Elmar Nascimento,1
Reginaldo Lopes,Cezinha de Madureira,1
Reginaldo Lopes,Dimas Gadelha,1
Reginaldo Lopes,Ivoneide Caetano,1
Reginaldo Lopes,Bacelar,1
Reginaldo Lopes,Raimundo Santos,1
Reginaldo Lopes,Cabo Gilberto Silva,1
Reginaldo Lopes,Coronel Telhada,1
Reginaldo Lopes,Marcon,1
Reginaldo Lopes,Amália Barros,1
Reginaldo Lopes,Rosângela Reis,1
Reginaldo Lopes,Ruy Carneiro,1
Reginaldo Lopes,Léo Prates,1
Reginaldo Lopes,Gilson Daniel,1
Reginaldo Lopes,Ismael Alexandrino,1
Reginaldo Lopes,Pastor Henrique Vieira,1
Reginaldo Lopes,Dimas Fabiano,1
Reginaldo Lopes,Pastor Sargento Isidório,1
Reginaldo Lopes,Guilherme Boulos,1
Reginaldo Lopes,Jilmar Tatto,1
Reginaldo Lopes,Thiago de Joaldo,1
Reginaldo Lopes,Max Lemos,1
Reginaldo Lopes,Luiz Gastão,1
Reginaldo Lopes,Welter,1
Reginaldo Lopes,Arlindo Chinaglia,1
Reginaldo Lopes,Afonso Motta,1
Reginaldo Lopes,Talíria Petrone,1
Reginaldo Lopes,Dilvanda Faro,1
Reginaldo Lopes,Tiririca,1
Reginaldo Lopes,André Ferreira,1
Reginaldo Lopes,Celso Sabino,1
Reginaldo Lopes,Jonas Donizette,1
Reginaldo Lopes,Luisa Canziani,1
Reginaldo Lopes,Zé Trovão,1
Reginaldo Lopes,Delegada Adriana Accorsi,1
Reginaldo Lopes,Glauber Braga,1
Reginaldo Lopes,André Fufuca,1
Reginaldo Lopes,Erika Kokay,1
Reginaldo Lopes,Pr. Marco Feliciano,1
Reginaldo Lopes,Bibo Nunes,1
Reginaldo Lopes,Antonio Carlos Rodrigues,1
Reginaldo Lopes,Tadeu Veneri,1
Reginaldo Lopes,Vander Loubet,1
Reginaldo Lopes,José Guimarães,2
Reginaldo Lopes,Rubens Pereira Júnior,1
Reginaldo Lopes,Dandara,1
Reginaldo Lopes,Florentino Neto,1
Reginaldo Lopes,Alfredinho,1
Reginaldo Lopes,Pastor Eurico,1
Reginaldo Lopes,Tarcísio Motta,2
Reginaldo Lopes,Samuel Viana,1
Reginaldo Lopes,Chico Alencar,1
Reginaldo Lopes,Zé Haroldo Cathedral,2
Reginaldo Lopes,Giovani Cherini,1
Reginaldo Lopes,Ana Pimentel,1
Reginaldo Lopes,Jorge Solla,1
Reginaldo Lopes,Odair Cunha,1
Reginaldo Lopes,Fernando Monteiro,1
Reginaldo Lopes,Delegado Éder Mauro,3
Reginaldo Lopes,Eduardo Bolsonaro,1
Reginaldo Lopes,Coronel Chrisóstomo,3
Reginaldo Lopes,Gabriel Nunes,1
Reginaldo Lopes,André Figueiredo,1
Reginaldo Lopes,Miguel Lombardi,1
Reginaldo Lopes,Lucas Ramos,1
Reginaldo Lopes,Luciano Azevedo,1
Reginaldo Lopes,Capitão Alberto Neto,1
Reginaldo Lopes,Rodolfo Nogueira,1
Reginaldo Lopes,Carol Dartora,1
Reginaldo Lopes,Mauricio do Vôlei,1
Reginaldo Lopes,Vermelho,1
Reginaldo Lopes,General Girão,1
Reginaldo Lopes,Caroline de Toni,2
Reginaldo Lopes,Lucas Redecker,2
Reginaldo Lopes,Kim Kataguiri,2
Reginaldo Lopes,Messias Donato,2
Reginaldo Lopes,Tenente Coronel Zucco,2
Reginaldo Lopes,Ricardo Salles,2
Reginaldo Lopes,Paulão,1
Reginaldo Lopes,Pedro Campos,1
Sergio Souza,Sonize Barbosa,1
Sergio Souza,Mauricio Neves,1
Sergio Souza,Helder Salomão,2
Sergio Souza,Bohn Gass,1
Sergio Souza,Delegado Caveira,1
Sergio Souza,Reginete Bispo,1
Sergio Souza,Ana Paula Lima,1
Sergio Souza,Jack Rocha,1
Sergio Souza,Júnior Mano,1
Sergio Souza,Márcio Honaiser,1
Sergio Souza,Célio Studart,1
Sergio Souza,Lêda Borges,1
Sergio Souza,Dr. Frederico,1
Sergio Souza,Alceu Moreira,1
Sergio Souza,Marcelo Lima,1
Sergio Souza,Júlio Cesar,1
Sergio Souza,Flávio Nogueira,2
Sergio Souza,Luiz Carlos Motta,1
Sergio Souza,Pedro Uczai,1
Sergio Souza,Paulo Abi-Ackel,1
Sergio Souza,Felipe Carreras,1
Sergio Souza,Gilvan da Federal,1
Sergio Souza,Toninho Wandscheer,1
Sergio Souza,Márcio Jerry,1
Sergio Souza,Félix Mendonça Júnior,1
Sergio Souza,Bebeto,1
Sergio Souza,Yury do Paredão,1
Sergio Souza,Alencar Santana,3
Sergio Souza,Valmir Assunção,2
Sergio Souza,Zeca Dirceu,1
Sergio Souza,Marcelo Moraes,1
Sergio Souza,Adolfo Viana,1
Sergio Souza,Aureo Ribeiro,1
Sergio Souza,Gutemberg Reis,1
Sergio Souza,Marcos Pollon,1
Sergio Souza,Heitor Schuch,1
Sergio Souza,José Medeiros,1
Sergio Souza,Luiza Erundina,1
Sergio Souza,Ricardo Abrão,1
Sergio Souza,Antônio Doido,1
Sergio Souza,Clarissa Tércio,1
Sergio Souza,Zé Neto,1
Sergio Souza,Marcos Tavares,2
Sergio Souza,Bruno Farias,1
Sergio Souza,Luiz Antônio Corrêa,1
Sergio Souza,Lázaro Botelho,1
Sergio Souza,Da Vitoria,1
Sergio Souza,Marco Brasil,1
Sergio Souza,Cobalchini,2
Sergio Souza,Luizianne Lins,1
Sergio Souza,Castro Neto,1
Sergio Souza,Sargento Gonçalves,1
Sergio Souza,Carlos Chiodini,1
Sergio Souza,Emanuel Pinheiro Neto,1
Sergio Souza,Leônidas Cristino,1
Sergio Souza,Rodrigo Estacho,1
Sergio Souza,Carlos Zarattini,1
Sergio Souza,Mario Frias,1
Sergio Souza,Greyce Elias,1
Sergio Souza,Paulo Guedes,1
Sergio Souza,Prof. Reginaldo Veras,1
Sergio Souza,Orlando Silva,1
Sergio Souza,Reginaldo Lopes,1
Sergio Souza,Delegado Fabio Costa,3
Sergio Souza,Pastor Diniz,1
Sergio Souza,Henderson Pinto,1
Sergio Souza,Lebrão,1
Sergio Souza,Paulo Azi,1
Sergio Souza,Clodoaldo Magalhães,1
Sergio Souza,Rafael Prudente,1
Sergio Souza,Ivan Valente,1
Sergio Souza,Domingos Neto,1
Sergio Souza,Igor Timo,1
Sergio Souza,Delegado Ramagem,1
Sergio Souza,Helena Lima,1
Sergio Souza,Neto Carletto,1
Sergio Souza,Adriano do Baldy,1
Sergio Souza,Márcio Marinho,1
Sergio Souza,Vinicius Gurgel,1
Sergio Souza,Luciano Vieira,1
Sergio Souza,Keniston Braga,1
Sergio Souza,Silvia Cristina,1
Sergio Souza,Luciano Alves,1
Sergio Souza,Marcos Aurélio Sampaio,1
Sergio Souza,Jones Moura,1
Sergio Souza,Carla Zambelli,1
Sergio Souza,Sâmia Bomfim,3
Sergio Souza,Célia Xakriabá,1
Sergio Souza,Dra. Alessandra Haber,1
Sergio Souza,Cristiane Lopes,1
Sergio Souza,Lindbergh Farias,1
Sergio Souza,Chiquinho Brazão,1
Sergio Souza,Bruno Ganem,1
Sergio Souza,Juliana Cardoso,1
Sergio Souza,Daniel Almeida,1
Sergio Souza,Newton Cardoso Jr,1
Sergio Souza,Renata Abreu,1
Sergio Souza,Daniel Agrobom,1
Sergio Souza,Paulinho Freire,1
Sergio Souza,Rosana Valle,1
Sergio Souza,Afonso Hamm,1
Sergio Souza,Tião Medeiros,1
Sergio Souza,Bia Kicis,1
Sergio Souza,Capitão Augusto,1
Sergio Souza,Amanda Gentil,1
Sergio Souza,Osmar Terra,1
Sergio Souza,Sanderson,1
Sergio Souza,Erika Hilton,1
Sergio Souza,Professora Luciene Cavalcante,2
Sergio Souza,Luiz Lima,1
Sergio Souza,Fábio Teruel,1
Sergio Souza,AJ Albuquerque,1
Sergio Souza,Jorge Goetten,1
Sergio Souza,Rogério Correia,1
Sergio Souza,Robinson Faria,1
Sergio Souza,Airton Faleiro,1
Sergio Souza,Paulo Freire Costa,1
Sergio Souza,Nikolas Ferreira,1
Sergio Souza,Icaro de Valmir,1
Sergio Souza,Leur Lomanto Júnior,1
Sergio Souza,Weliton Prado,1
Sergio Souza,Eros Biondini,1
Sergio Souza,Eriberto Medeiros,1
Sergio Souza,Mendonça Filho,1
Sergio Souza,Roberto Monteiro,1
Sergio Souza,Dr. Francisco,1
Sergio Souza,Antonio Brito,1
Sergio Souza,Danilo Forte,1
Sergio Souza,Jandira Feghali,1
Sergio Souza,Adilson Barroso,1
Sergio Souza,Luiz Fernando Faria,1
Sergio Souza,Evair Vieira de Melo,3
Sergio Souza,Fernanda Pessoa,1
Sergio Souza,Moses Rodrigues,1
Sergio Souza,Antônia Lúcia,1
Sergio Souza,Gervásio Maia,1
Sergio Souza,Coronel Ulysses,3
Sergio Souza,Thiago Flores,1
Sergio Souza,Vicentinho,1
Sergio Souza,Padre João,2
Sergio Souza,Daniela Reinehr,1
Sergio Souza,Andreia Siqueira,1
Sergio Souza,Soraya Santos,1
Sergio Souza,Marcelo Álvaro Antônio,1
Sergio Souza,Delegada Ione,1
Sergio Souza,Pezenti,1
Sergio Souza,Enfermeira Ana Paula,1
Sergio Souza,Luiz Couto,1
Sergio Souza,Delegado Paulo Bilynskyj,1
Sergio Souza,Iza Arruda,1
Sergio Souza,Fernando Mineiro,1
Sergio Souza,Delegado Palumbo,1
Sergio Souza,Delegada Katarina,2
Sergio Souza,Alfredo Gaspar,3
Sergio Souza,Dr Benjamim,1
Sergio Souza,Marcelo Queiroz,1
Sergio Souza,Rodrigo Gambale,1
Sergio Souza,Giacobo,1
Sergio Souza,Fernando Rodolfo,1
Sergio Souza,Pompeo de Mattos,1
Sergio Souza,Guilherme Uchoa,1
Sergio Souza,Fausto Santos Jr.,1
Sergio Souza,Carlos Henrique Gaguim,1
Sergio Souza,Capitão Alden,3
Sergio Souza,Ricardo Maia,1
Sergio Souza,Natália Bonavides,1
Sergio Souza,Hercílio Coelho Diniz,3
Sergio Souza,Damião Feliciano,1
Sergio Souza,José Rocha,1
Sergio Souza,Júnior Ferrari,1
Sergio Souza,Waldemar Oliveira,2
Sergio Souza,Coronel Meira,1
Sergio Souza,Paulo Foletto,1
Sergio Souza,Luiz Carlos Hauly,1
Sergio Souza,Arthur Oliveira Maia,1
Sergio Souza,Emidinho Madeira,1
Sergio Souza,Wellington Roberto,1
Sergio Souza,Mário Heringer,1
Sergio Souza,Claudio Cajado,1
Sergio Souza,Pedro Paulo,1
Sergio Souza,Eunício Oliveira,1
Sergio Souza,Renildo Calheiros,1
Sergio Souza,Luiz Nishimori,1
Sergio Souza,Magda Mofatto,3
Sergio Souza,Renilce Nicodemos,2
Sergio Souza,Josenildo,1
Sergio Souza,Arnaldo Jardim,1
Sergio Souza,Carlos Veras,2
Sergio Souza,Meire Serafim,1
Sergio Souza,Reimont,1
Sergio Souza,Laura Carneiro,2
Sergio Souza,Rodrigo de Castro,1
Sergio Souza,Kiko Celeguim,1
Sergio Souza,Paulo Magalhães,1
Sergio Souza,Daniel Barbosa,1
Sergio Souza,Benes Leocádio,1
Sergio Souza,Rui Falcão,2
Sergio Souza,Caio Vianna,1
Sergio Souza,Simone Marquetto,1
Sergio Souza,Alice Portugal,1
Sergio Souza,Maria Arraes,1
Sergio Souza,Ana Paula Leão,3
Sergio Souza,Joaquim Passarinho,1
Sergio Souza,Lídice da Mata,2
Sergio Souza,Idilvan Alencar,1
Sergio Souza,Elmar Nascimento,1
Sergio Souza,Cezinha de Madureira,1
Sergio Souza,Dimas Gadelha,1
Sergio Souza,Ivoneide Caetano,1
Sergio Souza,Bacelar,1
Sergio Souza,Raimundo Santos,1
Sergio Souza,Cabo Gilberto Silva,1
Sergio Souza,Coronel Telhada,1
Sergio Souza,Marcon,1
Sergio Souza,Amália Barros,1
Sergio Souza,Rosângela Reis,1
Sergio Souza,Ruy Carneiro,1
Sergio Souza,Léo Prates,1
Sergio Souza,Gilson Daniel,1
Sergio Souza,Ismael Alexandrino,1
Sergio Souza,Pastor Henrique Vieira,1
Sergio Souza,Dimas Fabiano,1
Sergio Souza,Pastor Sargento Isidório,1
Sergio Souza,Guilherme Boulos,1
Sergio Souza,Jilmar Tatto,1
Sergio Souza,Thiago de Joaldo,1
Sergio Souza,Max Lemos,1
Sergio Souza,Luiz Gastão,1
Sergio Souza,Welter,1
Sergio Souza,Arlindo Chinaglia,1
Sergio Souza,Afonso Motta,1
Sergio Souza,Talíria Petrone,1
Sergio Souza,Dilvanda Faro,1
Sergio Souza,Tiririca,1
Sergio Souza,André Ferreira,1
Sergio Souza,Celso Sabino,1
Sergio Souza,Jonas Donizette,1
Sergio Souza,Luisa Canziani,1
Sergio Souza,Zé Trovão,1
Sergio Souza,Delegada Adriana Accorsi,1
Sergio Souza,Glauber Braga,1
Sergio Souza,André Fufuca,1
Sergio Souza,Erika Kokay,1
Sergio Souza,Pr. Marco Feliciano,1
Sergio Souza,Bibo Nunes,1
Sergio Souza,Antonio Carlos Rodrigues,1
Sergio Souza,Tadeu Veneri,1
Sergio Souza,Vander Loubet,1
Sergio Souza,José Guimarães,2
Sergio Souza,Rubens Pereira Júnior,1
Sergio Souza,Dandara,1
Sergio Souza,Florentino Neto,1
Sergio Souza,Alfredinho,1
Sergio Souza,Pastor Eurico,1
Sergio Souza,Tarcísio Motta,2
Sergio Souza,Samuel Viana,1
Sergio Souza,Chico Alencar,1
Sergio Souza,Zé Haroldo Cathedral,2
Sergio Souza,Giovani Cherini,1
Sergio Souza,Ana Pimentel,1
Sergio Souza,Jorge Solla,1
Sergio Souza,Odair Cunha,1
Sergio Souza,Fernando Monteiro,1
Sergio Souza,Delegado Éder Mauro,3
Sergio Souza,Eduardo Bolsonaro,1
Sergio Souza,Coronel Chrisóstomo,3
Sergio Souza,Gabriel Nunes,1
Sergio Souza,André Figueiredo,1
Sergio Souza,Miguel Lombardi,1
Sergio Souza,Lucas Ramos,1
Sergio Souza,Luciano Azevedo,1
Sergio Souza,Capitão Alberto Neto,1
Sergio Souza,Rodolfo Nogueira,1
Sergio Souza,Carol Dartora,1
Sergio Souza,Mauricio do Vôlei,1
Sergio Souza,Vermelho,1
Sergio Souza,General Girão,1
Sergio Souza,Caroline de Toni,2
Sergio Souza,Lucas Redecker,2
Sergio Souza,Kim Kataguiri,2
Sergio Souza,Messias Donato,2
Sergio Souza,Tenente Coronel Zucco,2
Sergio Souza,Ricardo Salles,2
Sergio Souza,Paulão,1
Sergio Souza,Pedro Campos,1
Delegado Fabio Costa,Sonize Barbosa,3
Delegado Fabio Costa,Mauricio Neves,3
Delegado Fabio Costa,Helder Salomão,6
Delegado Fabio Costa,Bohn Gass,3
Delegado Fabio Costa,Delegado Caveira,3
Delegado Fabio Costa,Reginete Bispo,3
Delegado Fabio Costa,Any Ortiz,1
Delegado Fabio Costa,Ana Paula Lima,3
Delegado Fabio Costa,Jack Rocha,3
Delegado Fabio Costa,Júnior Mano,3
Delegado Fabio Costa,Márcio Honaiser,3
Delegado Fabio Costa,Dilceu Sperafico,1
Delegado Fabio Costa,Célio Studart,3
Delegado Fabio Costa,Dr. Victor Linhalis,1
Delegado Fabio Costa,Lêda Borges,3
Delegado Fabio Costa,Dr. Frederico,3
Delegado Fabio Costa,Alceu Moreira,3
Delegado Fabio Costa,Marcelo Lima,3
Delegado Fabio Costa,Júlio Cesar,3
Delegado Fabio Costa,Flávio Nogueira,6
Delegado Fabio Costa,Fabio Schiochet,1
Delegado Fabio Costa,Mauricio Marcon,2
Delegado Fabio Costa,Luiz Carlos Motta,3
Delegado Fabio Costa,Pedro Uczai,3
Delegado Fabio Costa,Paulo Abi-Ackel,3
Delegado Fabio Costa,David Soares,1
Delegado Fabio Costa,Felipe Carreras,3
Delegado Fabio Costa,Gilvan da Federal,3
Delegado Fabio Costa,Fabio Garcia,1
Delegado Fabio Costa,Toninho Wandscheer,3
Delegado Fabio Costa,Amom Mandel,1
Delegado Fabio Costa,Márcio Jerry,3
Delegado Fabio Costa,Félix Mendonça Júnior,3
Delegado Fabio Costa,Bebeto,3
Delegado Fabio Costa,Yury do Paredão,4
Delegado Fabio Costa,Alencar Santana,9
Delegado Fabio Costa,Valmir Assunção,8
Delegado Fabio Costa,Zeca Dirceu,3
Delegado Fabio Costa,Marcelo Moraes,3
Delegado Fabio Costa,Alberto Mourão,1
Delegado Fabio Costa,Flavinha,1
Delegado Fabio Costa,Adolfo Viana,3
Delegado Fabio Costa,Aureo Ribeiro,3
Delegado Fabio Costa,Gutemberg Reis,3
Delegado Fabio Costa,Marcos Pollon,4
Delegado Fabio Costa,Heitor Schuch,3
Delegado Fabio Costa,José Medeiros,3
Delegado Fabio Costa,Luiza Erundina,3
Delegado Fabio Costa,Albuquerque,1
Delegado Fabio Costa,Ricardo Abrão,3
Delegado Fabio Costa,Antônio Doido,3
Delegado Fabio Costa,Lucas Redecker,9
Delegado Fabio Costa,Duda Salabert,1
Delegado Fabio Costa,Daniel Trzeciak,1
Delegado Fabio Costa,Clarissa Tércio,3
Delegado Fabio Costa,Zé Neto,3
Delegado Fabio Costa,Marcos Tavares,6
Delegado Fabio Costa,Bruno Farias,3
Delegado Fabio Costa,Luiz Antônio Corrêa,3
Delegado Fabio Costa,Gilberto Abramo,1
Delegado Fabio Costa,Lázaro Botelho,3
Delegado Fabio Costa,Geovania de Sá,1
Delegado Fabio Costa,Dr. Luiz Ovando,1
Delegado Fabio Costa,Zezinho Barbary,1
Delegado Fabio Costa,Da Vitoria,3
Delegado Fabio Costa,Marco Brasil,3
Delegado Fabio Costa,Cobalchini,6
Delegado Fabio Costa,Luizianne Lins,3
Delegado Fabio Costa,Gilvan Maximo,1
Delegado Fabio Costa,Castro Neto,3
Delegado Fabio Costa,Sargento Gonçalves,3
Delegado Fabio Costa,Carlos Chiodini,3
Delegado Fabio Costa,Emanuel Pinheiro Neto,3
Delegado Fabio Costa,Leônidas Cristino,3
Delegado Fabio Costa,Rodrigo Estacho,3
Delegado Fabio Costa,Carlos Zarattini,3
Delegado Fabio Costa,Duarte,1
Delegado Fabio Costa,Mario Frias,3
Delegado Fabio Costa,Greyce Elias,3
Delegado Fabio Costa,Messias Donato,8
Delegado Fabio Costa,Paulo Guedes,3
Delegado Fabio Costa,Prof. Reginaldo Veras,3
Delegado Fabio Costa,Orlando Silva,3
Delegado Fabio Costa,Julio Lopes,1
Delegado Fabio Costa,Reginaldo Lopes,3
Delegado Fabio Costa,Sergio Souza,3
Delegado Fabio Costa,Pastor Diniz,3
Delegado Fabio Costa,Henderson Pinto,3
Delegado Fabio Costa,Lebrão,3
Delegado Fabio Costa,Paulo Azi,3
Delegado Fabio Costa,Clodoaldo Magalhães,3
Delegado Fabio Costa,Rafael Prudente,3
Delegado Fabio Costa,Ivan Valente,3
Delegado Fabio Costa,Domingos Neto,3
Delegado Fabio Costa,Igor Timo,3
Delegado Fabio Costa,Delegado Ramagem,4
Delegado Fabio Costa,Helena Lima,3
Delegado Fabio Costa,Neto Carletto,3
Delegado Fabio Costa,Adriano do Baldy,3
Delegado Fabio Costa,Márcio Marinho,3
Delegado Fabio Costa,Vinicius Gurgel,3
Delegado Fabio Costa,Luciano Vieira,3
Delegado Fabio Costa,Keniston Braga,3
Delegado Fabio Costa,Silvia Cristina,3
Delegado Fabio Costa,Luciano Alves,3
Delegado Fabio Costa,Marcos Aurélio Sampaio,3
Delegado Fabio Costa,Jones Moura,3
Delegado Fabio Costa,Carla Zambelli,3
Delegado Fabio Costa,Sâmia Bomfim,10
Delegado Fabio Costa,Célia Xakriabá,3
Delegado Fabio Costa,Dra. Alessandra Haber,3
Delegado Fabio Costa,Cristiane Lopes,3
Delegado Fabio Costa,Lindbergh Farias,3
Delegado Fabio Costa,Chiquinho Brazão,3
Delegado Fabio Costa,Bruno Ganem,3
Delegado Fabio Costa,Juliana Cardoso,3
Delegado Fabio Costa,Daniel Almeida,3
Delegado Fabio Costa,Newton Cardoso Jr,3
Delegado Fabio Costa,Renata Abreu,3
Delegado Fabio Costa,Daniel Agrobom,3
Delegado Fabio Costa,Paulinho Freire,3
Delegado Fabio Costa,Rosana Valle,3
Delegado Fabio Costa,Afonso Hamm,3
Delegado Fabio Costa,Tião Medeiros,3
Delegado Fabio Costa,Bia Kicis,3
Delegado Fabio Costa,Capitão Augusto,3
Delegado Fabio Costa,Amanda Gentil,3
Delegado Fabio Costa,Osmar Terra,3
Delegado Fabio Costa,Sanderson,3
Delegado Fabio Costa,Erika Hilton,3
Delegado Fabio Costa,Professora Luciene Cavalcante,8
Delegado Fabio Costa,Luiz Lima,3
Delegado Fabio Costa,Fábio Teruel,3
Delegado Fabio Costa,AJ Albuquerque,3
Delegado Fabio Costa,Jorge Goetten,4
Delegado Fabio Costa,Rogério Correia,3
Delegado Fabio Costa,Robinson Faria,4
Delegado Fabio Costa,Airton Faleiro,3
Delegado Fabio Costa,Paulo Freire Costa,3
Delegado Fabio Costa,Nikolas Ferreira,3
Delegado Fabio Costa,Icaro de Valmir,3
Delegado Fabio Costa,Leur Lomanto Júnior,3
Delegado Fabio Costa,Weliton Prado,3
Delegado Fabio Costa,Eros Biondini,3
Delegado Fabio Costa,Eriberto Medeiros,3
Delegado Fabio Costa,Mendonça Filho,3
Delegado Fabio Costa,Roberto Monteiro,3
Delegado Fabio Costa,Dr. Francisco,3
Delegado Fabio Costa,Antonio Brito,3
Delegado Fabio Costa,Danilo Forte,3
Delegado Fabio Costa,Jandira Feghali,3
Delegado Fabio Costa,Adilson Barroso,3
Delegado Fabio Costa,Luiz Fernando Faria,3
Delegado Fabio Costa,Evair Vieira de Melo,10
Delegado Fabio Costa,Fernanda Pessoa,3
Delegado Fabio Costa,Moses Rodrigues,3
Delegado Fabio Costa,Antônia Lúcia,3
Delegado Fabio Costa,Gervásio Maia,3
Delegado Fabio Costa,Coronel Ulysses,10
Delegado Fabio Costa,Thiago Flores,3
Delegado Fabio Costa,Vicentinho,3
Delegado Fabio Costa,Padre João,8
Delegado Fabio Costa,Daniela Reinehr,3
Delegado Fabio Costa,Andreia Siqueira,3
Delegado Fabio Costa,Soraya Santos,3
Delegado Fabio Costa,Marcelo Álvaro Antônio,3
Delegado Fabio Costa,Delegada Ione,3
Delegado Fabio Costa,Pezenti,3
Delegado Fabio Costa,Enfermeira Ana Paula,3
Delegado Fabio Costa,Luiz Couto,3
Delegado Fabio Costa,Delegado Paulo Bilynskyj,3
Delegado Fabio Costa,Iza Arruda,3
Delegado Fabio Costa,Fernando Mineiro,3
Delegado Fabio Costa,Delegado Palumbo,3
Delegado Fabio Costa,Delegada Katarina,6
Delegado Fabio Costa,Alfredo Gaspar,11
Delegado Fabio Costa,Dr Benjamim,3
Delegado Fabio Costa,Marcelo Queiroz,3
Delegado Fabio Costa,Rodrigo Gambale,3
Delegado Fabio Costa,Giacobo,3
Delegado Fabio Costa,Fernando Rodolfo,3
Delegado Fabio Costa,Pompeo de Mattos,3
Delegado Fabio Costa,Guilherme Uchoa,3
Delegado Fabio Costa,Fausto Santos Jr.,3
Delegado Fabio Costa,Carlos Henrique Gaguim,3
Delegado Fabio Costa,Capitão Alden,10
Delegado Fabio Costa,Ricardo Maia,3
Delegado Fabio Costa,Natália Bonavides,3
Delegado Fabio Costa,Hercílio Coelho Diniz,10
Delegado Fabio Costa,Damião Feliciano,3
Delegado Fabio Costa,José Rocha,3
Delegado Fabio Costa,Júnior Ferrari,3
Delegado Fabio Costa,Waldemar Oliveira,6
Delegado Fabio Costa,Coronel Meira,4
Delegado Fabio Costa,Paulo Foletto,3
Delegado Fabio Costa,Luiz Carlos Hauly,3
Delegado Fabio Costa,Arthur Oliveira Maia,3
Delegado Fabio Costa,Emidinho Madeira,3
Delegado Fabio Costa,Wellington Roberto,3
Delegado Fabio Costa,Mário Heringer,3
Delegado Fabio Costa,Claudio Cajado,3
Delegado Fabio Costa,Pedro Paulo,3
Delegado Fabio Costa,Eunício Oliveira,3
Delegado Fabio Costa,Renildo Calheiros,3
Delegado Fabio Costa,Luiz Nishimori,3
Delegado Fabio Costa,Magda Mofatto,10
Delegado Fabio Costa,Renilce Nicodemos,6
Delegado Fabio Costa,Josenildo,3
Delegado Fabio Costa,Arnaldo Jardim,3
Delegado Fabio Costa,Carlos Veras,6
Delegado Fabio Costa,Meire Serafim,3
Delegado Fabio Costa,Reimont,3
Delegado Fabio Costa,Laura Carneiro,6
Delegado Fabio Costa,Rodrigo de Castro,3
Delegado Fabio Costa,Kiko Celeguim,3
Delegado Fabio Costa,Paulo Magalhães,3
Delegado Fabio Costa,Daniel Barbosa,3
Delegado Fabio Costa,Benes Leocádio,3
Delegado Fabio Costa,Rui Falcão,6
Delegado Fabio Costa,Caio Vianna,3
Delegado Fabio Costa,Simone Marquetto,3
Delegado Fabio Costa,Alice Portugal,3
Delegado Fabio Costa,Maria Arraes,3
Delegado Fabio Costa,Ana Paula Leão,10
Delegado Fabio Costa,Joaquim Passarinho,3
Delegado Fabio Costa,Lídice da Mata,8
Delegado Fabio Costa,Idilvan Alencar,3
Delegado Fabio Costa,Elmar Nascimento,3
Delegado Fabio Costa,Cezinha de Madureira,3
Delegado Fabio Costa,Dimas Gadelha,3
Delegado Fabio Costa,Ivoneide Caetano,3
Delegado Fabio Costa,Bacelar,3
Delegado Fabio Costa,Raimundo Santos,3
Delegado Fabio Costa,Cabo Gilberto Silva,4
Delegado Fabio Costa,Coronel Telhada,3
Delegado Fabio Costa,Marcon,4
Delegado Fabio Costa,Amália Barros,3
Delegado Fabio Costa,Rosângela Reis,4
Delegado Fabio Costa,Ruy Carneiro,3
Delegado Fabio Costa,Léo Prates,3
Delegado Fabio Costa,Gilson Daniel,3
Delegado Fabio Costa,Ismael Alexandrino,3
Delegado Fabio Costa,Pastor Henrique Vieira,3
Delegado Fabio Costa,Dimas Fabiano,3
Delegado Fabio Costa,Pastor Sargento Isidório,3
Delegado Fabio Costa,Guilherme Boulos,3
Delegado Fabio Costa,Jilmar Tatto,3
Delegado Fabio Costa,Thiago de Joaldo,3
Delegado Fabio Costa,Max Lemos,3
Delegado Fabio Costa,Luiz Gastão,3
Delegado Fabio Costa,Welter,3
Delegado Fabio Costa,Arlindo Chinaglia,3
Delegado Fabio Costa,Afonso Motta,3
Delegado Fabio Costa,Talíria Petrone,3
Delegado Fabio Costa,Dilvanda Faro,3
Delegado Fabio Costa,Tiririca,3
Delegado Fabio Costa,André Ferreira,3
Delegado Fabio Costa,Celso Sabino,3
Delegado Fabio Costa,Jonas Donizette,3
Delegado Fabio Costa,Luisa Canziani,3
